time,3051（500kN）力值曲线,3051（500kN）位移曲线
2024-01-04 14:57:52,1020.61,-0.71
2024-01-04 14:57:53,1169.38,-0.24
2024-01-04 14:57:54,1305.37,0.21
2024-01-04 14:57:55,1448.46,0.67
2024-01-04 14:57:56,1595.36,1.13
2024-01-04 14:57:57,1752.82,1.59
2024-01-04 14:57:58,1880.54,2.04
2024-01-04 14:57:59,2005.25,2.48
2024-01-04 14:58:00,2103.24,2.93
2024-01-04 14:58:01,2201.44,3.38
2024-01-04 14:58:02,2272.69,3.82
2024-01-04 14:58:03,2313.45,4.25
2024-01-04 14:58:04,2344.04,4.69
2024-01-04 14:58:05,2340.64,5.13
2024-01-04 14:58:06,2350.85,5.56
2024-01-04 14:58:07,2384.87,6.00
2024-01-04 14:58:08,2405.30,6.43
2024-01-04 14:58:09,2435.95,6.87
2024-01-04 14:58:10,2446.18,7.30
2024-01-04 14:58:11,2456.40,7.74
2024-01-04 14:58:12,2487.09,8.18
2024-01-04 14:58:13,2510.98,8.60
2024-01-04 14:58:14,2330.44,8.72
2024-01-04 14:58:15,2313.45,8.72
2024-01-04 14:58:16,2333.84,9.01
2024-01-04 14:58:17,2337.24,9.01
2024-01-04 14:58:18,2412.11,9.01
2024-01-04 14:58:19,2340.64,9.21
2024-01-04 14:58:20,2344.04,9.21
2024-01-04 14:58:21,2350.85,9.37
2024-01-04 14:58:22,2337.24,9.37
2024-01-04 14:58:23,2524.63,9.42
2024-01-04 14:58:24,2333.84,9.57
2024-01-04 14:58:25,2340.64,9.57
2024-01-04 14:58:26,2371.26,9.78
2024-01-04 14:58:27,2357.65,9.78
2024-01-04 14:58:28,2538.29,9.82
2024-01-04 14:58:29,2361.05,9.94
2024-01-04 14:58:30,2340.64,9.94
2024-01-04 14:58:31,2357.65,10.10
2024-01-04 14:58:32,2354.25,10.10
2024-01-04 14:58:33,2531.46,10.23
2024-01-04 14:58:34,2337.24,10.27
2024-01-04 14:58:35,2333.84,10.27
2024-01-04 14:58:36,2364.45,10.47
2024-01-04 14:58:37,2337.24,10.47
2024-01-04 14:58:38,2538.29,10.62
2024-01-04 14:58:39,2337.24,10.62
2024-01-04 14:58:40,2323.64,10.62
2024-01-04 14:58:41,2354.25,10.82
2024-01-04 14:58:42,2337.24,10.82
2024-01-04 14:58:43,2367.85,10.99
2024-01-04 14:58:44,2340.64,10.99
2024-01-04 14:58:45,2524.63,11.02
2024-01-04 14:58:46,2354.25,11.20
2024-01-04 14:58:47,2344.04,11.20
2024-01-04 14:58:48,2548.54,11.43
2024-01-04 14:58:49,2548.54,11.86
2024-01-04 14:58:50,2555.37,12.29
2024-01-04 14:58:51,2562.20,12.72
2024-01-04 14:58:52,2565.62,13.14
2024-01-04 14:58:53,2579.29,13.57
2024-01-04 14:58:54,2582.71,14.00
2024-01-04 14:58:55,2592.97,14.43
2024-01-04 14:58:56,2596.39,14.86
2024-01-04 14:58:57,2596.39,15.29
2024-01-04 14:58:58,2589.55,15.72
2024-01-04 14:58:59,2603.23,16.14
2024-01-04 14:59:00,2599.81,16.58
2024-01-04 14:59:01,2599.81,17.01
2024-01-04 14:59:02,2610.07,17.43
2024-01-04 14:59:03,2606.65,17.86
2024-01-04 14:59:04,2610.07,18.30
