time,3056（200kN）力值曲线,3056（200kN）位移曲线
2024-03-18 08:45:43,310.09,-0.15
2024-03-18 08:45:44,324.62,0.02
2024-03-18 08:45:45,321.98,0.02
2024-03-18 08:45:46,329.90,0.19
2024-03-18 08:45:47,331.22,0.19
2024-03-18 08:45:48,337.83,0.27
2024-03-18 08:45:49,336.51,0.27
2024-03-18 08:45:50,343.11,0.33
2024-03-18 08:45:51,337.83,0.33
2024-03-18 08:45:52,343.11,0.41
2024-03-18 08:45:53,344.43,0.41
2024-03-18 08:45:54,343.11,0.41
2024-03-18 08:45:55,343.11,0.41
2024-03-18 08:45:56,343.11,0.41
2024-03-18 08:45:57,343.11,0.41
2024-03-18 08:45:58,340.47,0.41
2024-03-18 08:45:59,340.47,0.41
2024-03-18 08:46:00,339.15,0.41
2024-03-18 08:46:01,337.83,0.41
2024-03-18 08:46:02,337.83,0.41
2024-03-18 08:46:03,352.36,0.47
2024-03-18 08:46:04,349.72,0.47
2024-03-18 08:46:05,348.39,0.47
2024-03-18 08:46:06,348.39,0.47
2024-03-18 08:46:07,345.75,0.47
2024-03-18 08:46:08,345.75,0.47
2024-03-18 08:46:09,345.75,0.47
2024-03-18 08:46:10,345.75,0.47
2024-03-18 08:46:11,345.75,0.47
2024-03-18 08:46:12,345.75,0.47
2024-03-18 08:46:13,343.11,0.47
2024-03-18 08:46:14,345.75,0.47
2024-03-18 08:46:15,344.43,0.47
2024-03-18 08:46:16,344.43,0.47
2024-03-18 08:46:17,344.43,0.47
2024-03-18 08:46:18,343.11,0.47
2024-03-18 08:46:19,343.11,0.47
2024-03-18 08:46:20,344.43,0.47
2024-03-18 08:46:21,344.43,0.47
2024-03-18 08:46:22,344.43,0.47
2024-03-18 08:46:23,343.11,0.47
2024-03-18 08:46:24,341.79,0.47
2024-03-18 08:46:25,344.43,0.47
2024-03-18 08:46:26,343.11,0.47
2024-03-18 08:46:27,341.79,0.47
2024-03-18 08:46:28,343.11,0.47
2024-03-18 08:46:29,343.11,0.47
2024-03-18 08:46:30,343.11,0.47
2024-03-18 08:46:31,343.11,0.47
2024-03-18 08:46:32,343.11,0.47
2024-03-18 08:46:33,343.11,0.47
2024-03-18 08:46:34,343.11,0.47
2024-03-18 08:46:35,343.11,0.47
2024-03-18 08:46:36,337.83,0.47
2024-03-18 08:46:37,343.11,0.47
2024-03-18 08:46:38,343.11,0.47
2024-03-18 08:46:39,343.11,0.47
2024-03-18 08:46:40,343.11,0.47
2024-03-18 08:46:41,339.15,0.47
2024-03-18 08:46:42,356.32,0.58
2024-03-18 08:46:43,355.00,0.58
2024-03-18 08:46:44,434.17,1.17
2024-03-18 08:46:45,506.66,2.10
2024-03-18 08:46:46,559.33,2.99
2024-03-18 08:46:47,539.59,3.72
2024-03-18 08:46:48,531.69,3.72
2024-03-18 08:46:49,555.38,3.86
2024-03-18 08:46:50,543.54,4.09
2024-03-18 08:46:51,536.95,4.09
2024-03-18 08:46:52,543.54,4.31
2024-03-18 08:46:53,535.64,4.31
2024-03-18 08:46:54,585.65,4.76
2024-03-18 08:46:55,536.95,4.85
2024-03-18 08:46:56,534.32,4.85
2024-03-18 08:46:57,547.48,5.10
2024-03-18 08:46:58,543.54,5.10
2024-03-18 08:46:59,552.75,5.32
2024-03-18 08:47:00,548.80,5.32
2024-03-18 08:47:01,560.65,5.46
2024-03-18 08:47:02,556.70,5.46
2024-03-18 08:47:03,560.65,5.63
2024-03-18 08:47:04,554.07,5.63
2024-03-18 08:47:05,560.65,5.74
2024-03-18 08:47:06,554.07,5.74
2024-03-18 08:47:07,600.12,5.86
2024-03-18 08:47:08,548.80,5.91
2024-03-18 08:47:09,561.96,5.91
2024-03-18 08:47:10,556.70,6.02
2024-03-18 08:47:11,554.07,6.02
2024-03-18 08:47:12,558.01,6.17
2024-03-18 08:47:13,556.70,6.17
2024-03-18 08:47:14,565.91,6.31
2024-03-18 08:47:15,556.70,6.31
2024-03-18 08:47:16,569.86,6.39
2024-03-18 08:47:17,565.91,6.39
2024-03-18 08:47:18,571.17,6.50
2024-03-18 08:47:19,568.54,6.50
2024-03-18 08:47:20,573.81,6.59
2024-03-18 08:47:21,569.86,6.59
2024-03-18 08:47:22,575.12,6.64
2024-03-18 08:47:23,571.17,6.64
2024-03-18 08:47:24,575.12,6.70
2024-03-18 08:47:25,567.23,6.70
2024-03-18 08:47:26,579.07,6.78
2024-03-18 08:47:27,572.49,6.78
2024-03-18 08:47:28,576.44,6.81
2024-03-18 08:47:29,575.12,6.81
2024-03-18 08:47:30,577.75,6.87
2024-03-18 08:47:31,571.17,6.87
2024-03-18 08:47:32,579.07,6.92
2024-03-18 08:47:33,572.49,6.92
2024-03-18 08:47:34,576.44,6.98
2024-03-18 08:47:35,573.81,6.98
2024-03-18 08:47:36,583.02,7.06
2024-03-18 08:47:37,577.75,7.06
2024-03-18 08:47:38,573.81,7.06
2024-03-18 08:47:39,590.91,7.12
2024-03-18 08:47:40,576.44,7.12
2024-03-18 08:47:41,572.49,7.12
2024-03-18 08:47:42,583.02,7.18
2024-03-18 08:47:43,576.44,7.18
2024-03-18 08:47:44,618.53,7.20
2024-03-18 08:47:45,576.44,7.26
2024-03-18 08:47:46,576.44,7.26
2024-03-18 08:47:47,576.44,7.26
2024-03-18 08:47:48,575.12,7.26
2024-03-18 08:47:49,514.57,6.17
2024-03-18 08:47:50,185.75,4.09
2024-03-18 08:47:51,9.41,1.95
2024-03-18 08:47:52,12.06,1.95
2024-03-18 08:47:53,12.06,1.95
2024-03-18 08:47:54,13.39,1.95
2024-03-18 08:47:55,16.04,1.95
2024-03-18 08:47:56,16.04,1.95
2024-03-18 08:47:57,17.37,1.95
2024-03-18 08:47:58,17.37,1.95
2024-03-18 08:47:59,17.37,1.95
2024-03-18 08:48:00,20.03,1.95
