time,3078（YDC-4000kN）力值曲线,3078（YDC-4000kN）位移曲线
2024-10-13 17:19:20,538.69,-0.92
2024-10-13 17:19:21,607.17,-0.56
2024-10-13 17:19:22,661.34,-0.20
2024-10-13 17:19:23,715.81,0.15
2024-10-13 17:19:24,770.61,0.49
2024-10-13 17:19:25,838.28,0.83
2024-10-13 17:19:26,898.83,1.17
2024-10-13 17:19:27,959.76,1.49
2024-10-13 17:19:28,1005.70,1.82
2024-10-13 17:19:29,1059.56,2.13
2024-10-13 17:19:30,1062.13,2.29
2024-10-13 17:19:31,1077.58,2.46
2024-10-13 17:19:32,1085.31,2.63
2024-10-13 17:19:33,1023.62,2.80
2024-10-13 17:19:34,987.81,2.95
2024-10-13 17:19:35,1015.94,3.12
2024-10-13 17:19:36,1023.62,3.29
2024-10-13 17:19:37,1095.62,3.45
2024-10-13 17:19:38,1023.62,3.59
2024-10-13 17:19:39,1028.75,3.73
2024-10-13 17:19:40,1008.26,3.87
2024-10-13 17:19:41,1113.70,4.01
2024-10-13 17:19:42,1129.23,4.15
2024-10-13 17:19:43,1105.95,4.28
2024-10-13 17:19:44,1051.85,4.41
2024-10-13 17:19:45,1046.71,4.55
2024-10-13 17:19:46,1046.71,4.68
2024-10-13 17:19:47,1144.77,4.79
2024-10-13 17:19:48,1064.70,4.88
2024-10-13 17:19:49,1087.89,5.00
2024-10-13 17:19:50,1067.28,5.10
2024-10-13 17:19:51,1062.13,5.20
2024-10-13 17:19:52,1056.99,5.24
2024-10-13 17:19:53,1067.28,5.30
2024-10-13 17:19:54,1121.46,5.32
2024-10-13 17:19:55,1062.13,5.40
2024-10-13 17:19:56,1069.85,5.41
2024-10-13 17:19:57,1069.85,5.43
2024-10-13 17:19:58,1054.42,5.46
2024-10-13 17:19:59,1069.85,5.47
2024-10-13 17:20:00,1069.85,5.51
2024-10-13 17:20:01,1075.00,5.56
2024-10-13 17:20:02,1069.85,5.56
2024-10-13 17:20:03,1067.28,5.58
2024-10-13 17:20:04,1075.00,5.61
2024-10-13 17:20:05,1072.42,5.61
2024-10-13 17:20:06,1077.58,5.65
2024-10-13 17:20:07,1181.14,5.92
2024-10-13 17:20:08,1093.04,5.97
2024-10-13 17:20:09,1077.58,5.97
2024-10-13 17:20:10,1095.62,6.22
2024-10-13 17:20:11,1186.34,6.39
2024-10-13 17:20:12,1121.46,6.55
2024-10-13 17:20:13,1108.54,6.72
2024-10-13 17:20:14,1121.46,6.87
2024-10-13 17:20:15,1118.88,7.03
2024-10-13 17:20:16,1191.55,7.18
2024-10-13 17:20:17,1217.63,7.35
