time,3071（YDC-1000kN）力值曲线,3071（YDC-1000kN）位移曲线
2024-08-31 14:20:51,105.19,-0.14
2024-08-31 14:20:52,132.42,1.66
2024-08-31 14:20:53,166.14,3.54
2024-08-31 14:20:54,202.75,5.35
2024-08-31 14:20:55,239.65,7.08
2024-08-31 14:20:56,278.90,8.74
2024-08-31 14:20:57,317.71,10.27
2024-08-31 14:20:58,355.23,11.79
2024-08-31 14:20:59,392.82,13.18
2024-08-31 14:21:00,431.22,14.56
2024-08-31 14:21:01,467.26,15.83
2024-08-31 14:21:02,510.43,17.09
2024-08-31 14:21:03,543.84,18.28
2024-08-31 14:21:04,585.31,19.41
2024-08-31 14:21:05,624.18,20.43
2024-08-31 14:21:06,626.74,20.97
2024-08-31 14:21:07,624.18,20.97
2024-08-31 14:21:08,622.47,20.97
2024-08-31 14:21:09,620.77,20.97
2024-08-31 14:21:10,619.92,20.97
2024-08-31 14:21:11,619.07,20.97
2024-08-31 14:21:12,616.52,20.97
2024-08-31 14:21:13,617.37,20.97
2024-08-31 14:21:14,613.12,20.97
2024-08-31 14:21:15,615.67,20.97
2024-08-31 14:21:16,615.67,20.97
2024-08-31 14:21:17,616.52,20.97
2024-08-31 14:21:18,615.67,20.97
2024-08-31 14:21:19,615.67,20.97
2024-08-31 14:21:20,613.97,20.97
2024-08-31 14:21:21,613.12,20.97
2024-08-31 14:21:22,611.43,20.97
2024-08-31 14:21:23,613.97,20.97
2024-08-31 14:21:24,609.73,20.97
2024-08-31 14:21:25,612.28,20.97
2024-08-31 14:21:26,613.12,20.97
2024-08-31 14:21:27,606.35,20.97
2024-08-31 14:21:28,608.89,20.97
2024-08-31 14:21:29,609.73,20.97
2024-08-31 14:21:30,609.73,20.97
2024-08-31 14:21:31,612.28,20.97
2024-08-31 14:21:32,608.89,20.97
2024-08-31 14:21:33,608.04,20.97
2024-08-31 14:21:34,609.73,20.97
2024-08-31 14:21:35,605.50,20.97
2024-08-31 14:21:36,606.35,20.97
2024-08-31 14:21:37,606.35,20.97
2024-08-31 14:21:38,610.58,20.97
2024-08-31 14:21:39,606.35,20.97
2024-08-31 14:21:40,609.73,20.97
2024-08-31 14:21:41,604.66,20.97
2024-08-31 14:21:42,609.73,20.97
2024-08-31 14:21:43,609.73,20.97
2024-08-31 14:21:44,609.73,20.97
2024-08-31 14:21:45,605.50,20.97
2024-08-31 14:21:46,602.97,20.97
2024-08-31 14:21:47,608.04,20.97
2024-08-31 14:21:48,608.89,20.97
2024-08-31 14:21:49,602.97,20.97
2024-08-31 14:21:50,608.04,20.97
2024-08-31 14:21:51,608.04,20.97
2024-08-31 14:21:52,604.66,20.97
2024-08-31 14:21:53,607.20,20.97
2024-08-31 14:21:54,607.20,20.97
2024-08-31 14:21:55,604.66,20.97
2024-08-31 14:21:56,607.20,20.97
2024-08-31 14:21:57,607.20,20.97
2024-08-31 14:21:58,607.20,20.97
2024-08-31 14:21:59,605.50,20.97
2024-08-31 14:22:00,606.35,20.97
2024-08-31 14:22:01,599.60,20.97
2024-08-31 14:22:02,606.35,20.97
2024-08-31 14:22:03,606.35,20.97
2024-08-31 14:22:04,607.20,20.97
2024-08-31 14:22:05,605.50,20.97
2024-08-31 14:22:06,607.20,20.97
2024-08-31 14:22:07,601.28,20.97
2024-08-31 14:22:08,606.35,20.97
2024-08-31 14:22:09,606.35,20.97
2024-08-31 14:22:10,599.60,20.97
2024-08-31 14:22:11,604.66,20.97
2024-08-31 14:22:12,604.66,20.97
2024-08-31 14:22:13,606.35,20.97
2024-08-31 14:22:14,606.35,20.97
2024-08-31 14:22:15,605.50,20.97
2024-08-31 14:22:16,604.66,20.97
2024-08-31 14:22:17,600.44,20.97
2024-08-31 14:22:18,605.50,20.97
2024-08-31 14:22:19,604.66,20.97
2024-08-31 14:22:20,600.44,20.97
2024-08-31 14:22:21,604.66,20.97
2024-08-31 14:22:22,605.50,20.97
2024-08-31 14:22:23,601.28,20.97
2024-08-31 14:22:24,598.75,20.97
2024-08-31 14:22:25,604.66,20.97
2024-08-31 14:22:26,605.50,20.97
2024-08-31 14:22:27,599.60,20.97
2024-08-31 14:22:28,604.66,20.97
2024-08-31 14:22:29,600.44,20.97
2024-08-31 14:22:30,597.91,20.97
2024-08-31 14:22:31,599.60,20.97
2024-08-31 14:22:32,598.75,20.97
2024-08-31 14:22:33,597.07,20.97
2024-08-31 14:22:34,601.28,20.97
2024-08-31 14:22:35,602.97,20.97
2024-08-31 14:22:36,602.13,20.97
2024-08-31 14:22:37,602.97,20.97
2024-08-31 14:22:38,599.60,20.97
2024-08-31 14:22:39,601.28,20.97
2024-08-31 14:22:40,601.28,20.97
2024-08-31 14:22:41,599.60,20.97
2024-08-31 14:22:42,602.97,20.97
2024-08-31 14:22:43,601.28,20.97
2024-08-31 14:22:44,602.13,20.97
2024-08-31 14:22:45,600.44,20.97
2024-08-31 14:22:46,602.13,20.97
2024-08-31 14:22:47,601.28,20.97
2024-08-31 14:22:48,602.13,20.97
2024-08-31 14:22:49,596.23,20.97
2024-08-31 14:22:50,596.23,20.97
2024-08-31 14:22:51,596.23,20.97
2024-08-31 14:22:52,602.13,20.97
2024-08-31 14:22:53,601.28,20.97
2024-08-31 14:22:54,597.91,20.97
2024-08-31 14:22:55,583.64,20.92
2024-08-31 14:22:56,365.67,18.13
2024-08-31 14:22:57,145.28,14.67
