time,3072（YDC-1000型kN）力值曲线,3072（YDC-1000型kN）位移曲线
2024-09-08 14:28:21,107.57,1.04
2024-09-08 14:28:22,123.55,2.22
2024-09-08 14:28:23,145.36,3.32
2024-09-08 14:28:24,161.74,4.48
2024-09-08 14:28:25,186.99,5.57
2024-09-08 14:28:26,211.89,6.70
2024-09-08 14:28:27,229.70,7.78
2024-09-08 14:28:28,251.46,8.79
2024-09-08 14:28:29,279.62,9.90
2024-09-08 14:28:30,302.00,10.90
2024-09-08 14:28:31,317.59,11.94
2024-09-08 14:28:32,349.95,12.93
2024-09-08 14:28:33,369.95,13.90
2024-09-08 14:28:34,365.94,14.46
2024-09-08 14:28:35,384.48,14.72
2024-09-08 14:28:36,401.55,15.68
2024-09-08 14:28:37,437.79,16.69
2024-09-08 14:28:38,460.34,17.63
2024-09-08 14:28:39,477.20,18.52
2024-09-08 14:28:40,508.71,19.46
2024-09-08 14:28:41,521.62,20.38
2024-09-08 14:28:42,559.01,21.30
2024-09-08 14:28:43,573.07,22.17
2024-09-08 14:28:44,608.60,23.07
2024-09-08 14:28:45,616.66,23.92
2024-09-08 14:28:46,622.95,24.44
2024-09-08 14:28:47,619.35,24.44
2024-09-08 14:28:48,617.56,24.44
2024-09-08 14:28:49,617.56,24.44
2024-09-08 14:28:50,616.66,24.44
2024-09-08 14:28:51,618.45,24.44
2024-09-08 14:28:52,615.76,24.44
2024-09-08 14:28:53,609.49,24.44
2024-09-08 14:28:54,614.86,24.44
2024-09-08 14:28:55,613.07,24.44
2024-09-08 14:28:56,613.97,24.44
2024-09-08 14:28:57,613.97,24.44
2024-09-08 14:28:58,611.28,24.44
2024-09-08 14:28:59,612.18,24.44
2024-09-08 14:29:00,609.49,24.44
2024-09-08 14:29:01,606.81,24.44
2024-09-08 14:29:02,605.02,24.44
2024-09-08 14:29:03,609.49,24.44
2024-09-08 14:29:04,611.28,24.44
2024-09-08 14:29:05,608.60,24.44
2024-09-08 14:29:06,608.60,24.44
2024-09-08 14:29:07,608.60,24.44
2024-09-08 14:29:08,608.60,24.44
2024-09-08 14:29:09,608.60,24.44
2024-09-08 14:29:10,607.70,24.44
2024-09-08 14:29:11,608.60,24.44
2024-09-08 14:29:12,606.81,24.44
2024-09-08 14:29:13,606.81,24.44
2024-09-08 14:29:14,602.34,24.44
2024-09-08 14:29:15,601.45,24.44
2024-09-08 14:29:16,606.81,24.44
2024-09-08 14:29:17,602.34,24.44
2024-09-08 14:29:18,606.81,24.44
2024-09-08 14:29:19,604.13,24.44
2024-09-08 14:29:20,607.70,24.44
2024-09-08 14:29:21,604.13,24.44
2024-09-08 14:29:22,606.81,24.44
2024-09-08 14:29:23,604.13,24.44
2024-09-08 14:29:24,605.91,24.44
2024-09-08 14:29:25,605.02,24.44
2024-09-08 14:29:26,602.34,24.44
2024-09-08 14:29:27,606.81,24.44
2024-09-08 14:29:28,606.81,24.44
2024-09-08 14:29:29,607.70,24.44
2024-09-08 14:29:30,604.13,24.44
2024-09-08 14:29:31,605.91,24.44
2024-09-08 14:29:32,604.13,24.44
2024-09-08 14:29:33,605.91,24.44
2024-09-08 14:29:34,604.13,24.44
2024-09-08 14:29:35,602.34,24.44
2024-09-08 14:29:36,600.56,24.44
2024-09-08 14:29:37,606.81,24.44
2024-09-08 14:29:38,602.34,24.44
2024-09-08 14:29:39,603.23,24.44
2024-09-08 14:29:40,606.81,24.44
2024-09-08 14:29:41,604.13,24.44
2024-09-08 14:29:42,606.81,24.44
2024-09-08 14:29:43,599.67,24.44
2024-09-08 14:29:44,605.91,24.44
2024-09-08 14:29:45,605.02,24.44
2024-09-08 14:29:46,602.34,24.44
2024-09-08 14:29:47,603.23,24.44
2024-09-08 14:29:48,602.34,24.44
2024-09-08 14:29:49,603.23,24.44
2024-09-08 14:29:50,604.13,24.44
2024-09-08 14:29:51,599.67,24.44
2024-09-08 14:29:52,602.34,24.44
2024-09-08 14:29:53,604.13,24.44
2024-09-08 14:29:54,597.88,24.44
2024-09-08 14:29:55,601.45,24.44
2024-09-08 14:29:56,604.13,24.44
2024-09-08 14:29:57,600.56,24.44
2024-09-08 14:29:58,602.34,24.44
2024-09-08 14:29:59,603.23,24.44
2024-09-08 14:30:00,603.23,24.44
2024-09-08 14:30:01,602.34,24.44
2024-09-08 14:30:02,597.88,24.44
2024-09-08 14:30:03,599.67,24.44
2024-09-08 14:30:04,598.77,24.44
2024-09-08 14:30:05,599.67,24.44
2024-09-08 14:30:06,596.99,24.44
2024-09-08 14:30:07,598.77,24.44
2024-09-08 14:30:08,601.45,24.44
2024-09-08 14:30:09,596.10,24.44
2024-09-08 14:30:10,595.21,24.44
2024-09-08 14:30:11,598.77,24.44
2024-09-08 14:30:12,600.56,24.44
2024-09-08 14:30:13,600.56,24.44
2024-09-08 14:30:14,600.56,24.44
2024-09-08 14:30:15,599.67,24.44
2024-09-08 14:30:16,525.07,24.02
2024-09-08 14:30:17,286.53,19.46
2024-09-08 14:30:18,42.06,11.27
2024-09-08 14:30:19,-78.08,4.80
2024-09-08 14:30:20,-80.47,4.80
2024-09-08 14:30:21,-81.07,4.80
2024-09-08 14:30:22,-82.86,4.80
2024-09-08 14:30:23,-82.86,4.80
2024-09-08 14:30:24,-82.86,4.80
2024-09-08 14:30:25,-82.86,4.80
2024-09-08 14:30:26,-83.45,4.80
2024-09-08 14:30:27,-84.05,4.80
2024-09-08 14:30:28,-84.64,4.80
