time,3074（YDC1200-200型kN）力值曲线,3074（YDC1200-200型kN）位移曲线
2024-09-08 17:22:23,230.55,1.55
2024-09-08 17:22:24,261.74,3.27
2024-09-08 17:22:25,289.17,4.91
2024-09-08 17:22:26,323.00,6.54
2024-09-08 17:22:27,352.21,8.15
2024-09-08 17:22:28,378.85,9.69
2024-09-08 17:22:29,411.34,11.21
2024-09-08 17:22:30,446.77,12.77
2024-09-08 17:22:31,477.20,14.26
2024-09-08 17:22:32,507.28,15.68
2024-09-08 17:22:33,541.95,17.14
2024-09-08 17:22:34,565.38,18.52
2024-09-08 17:22:35,607.00,19.90
2024-09-08 17:22:36,634.59,21.26
2024-09-08 17:22:37,641.54,22.22
2024-09-08 17:22:38,639.80,22.22
2024-09-08 17:22:39,639.80,22.22
2024-09-08 17:22:40,637.20,22.22
2024-09-08 17:22:41,635.46,22.22
2024-09-08 17:22:42,633.73,22.22
2024-09-08 17:22:43,632.86,22.22
2024-09-08 17:22:44,630.26,22.22
2024-09-08 17:22:45,631.13,22.22
2024-09-08 17:22:46,629.39,22.22
2024-09-08 17:22:47,630.26,22.22
2024-09-08 17:22:48,629.39,22.22
2024-09-08 17:22:49,629.39,22.22
2024-09-08 17:22:50,625.93,22.22
2024-09-08 17:22:51,626.80,22.22
2024-09-08 17:22:52,627.66,22.22
2024-09-08 17:22:53,626.80,22.22
2024-09-08 17:22:54,625.93,22.22
2024-09-08 17:22:55,624.21,22.22
2024-09-08 17:22:56,625.93,22.22
2024-09-08 17:22:57,620.75,22.22
2024-09-08 17:22:58,625.93,22.22
2024-09-08 17:22:59,622.48,22.22
2024-09-08 17:23:00,623.34,22.22
2024-09-08 17:23:01,622.48,22.22
2024-09-08 17:23:02,616.45,22.22
2024-09-08 17:23:03,621.62,22.22
2024-09-08 17:23:04,617.31,22.22
2024-09-08 17:23:05,619.03,22.22
2024-09-08 17:23:06,613.87,22.22
2024-09-08 17:23:07,497.47,20.58
2024-09-08 17:23:08,391.93,17.83
2024-09-08 17:23:09,260.31,14.51
2024-09-08 17:23:10,156.65,11.37
2024-09-08 17:23:11,93.49,9.06
2024-09-08 17:23:12,20.72,6.60
2024-09-08 17:23:13,17.14,6.60
2024-09-08 17:23:14,14.17,6.60
2024-09-08 17:23:15,13.58,6.60
2024-09-08 17:23:16,11.20,6.60
2024-09-08 17:23:17,10.02,6.60
2024-09-08 17:23:18,10.02,6.60
2024-09-08 17:23:19,8.84,6.60
2024-09-08 17:23:20,9.43,6.60
2024-09-08 17:23:21,9.43,6.60
