time,4049（250kN）力值曲线,4049（250kN）位移曲线
2025-05-08 11:31:21,524.75,0.70
2025-05-08 11:31:22,523.17,1.53
2025-05-08 11:31:23,526.34,2.17
2025-05-08 11:31:24,535.84,2.55
2025-05-08 11:31:25,575.48,2.91
2025-05-08 11:31:26,572.31,3.33
2025-05-08 11:31:27,556.45,3.86
2025-05-08 11:31:28,599.30,4.18
2025-05-08 11:31:29,570.72,4.31
2025-05-08 11:31:30,565.96,4.31
2025-05-08 11:31:31,573.90,4.42
2025-05-08 11:31:32,572.31,4.42
2025-05-08 11:31:33,572.31,4.42
2025-05-08 11:31:34,572.31,4.42
2025-05-08 11:31:35,565.96,4.42
2025-05-08 11:31:36,570.72,4.42
2025-05-08 11:31:37,570.72,4.42
2025-05-08 11:31:38,569.14,4.42
2025-05-08 11:31:39,567.55,4.42
2025-05-08 11:31:40,580.24,4.59
2025-05-08 11:31:41,578.66,4.59
2025-05-08 11:31:42,575.48,4.59
2025-05-08 11:31:43,578.66,4.59
2025-05-08 11:31:44,570.72,4.59
2025-05-08 11:31:45,575.48,4.59
2025-05-08 11:31:46,573.90,4.59
2025-05-08 11:31:47,577.07,4.59
2025-05-08 11:31:48,575.48,4.59
2025-05-08 11:31:49,575.48,4.59
2025-05-08 11:31:50,573.90,4.59
2025-05-08 11:31:51,572.31,4.59
2025-05-08 11:31:52,572.31,4.59
2025-05-08 11:31:53,570.72,4.59
2025-05-08 11:31:54,573.90,4.59
2025-05-08 11:31:55,572.31,4.59
2025-05-08 11:31:56,572.31,4.59
2025-05-08 11:31:57,613.60,5.35
2025-05-08 11:31:58,616.78,6.43
2025-05-08 11:31:59,650.20,7.49
2025-05-08 11:32:00,670.91,8.57
2025-05-08 11:32:01,674.10,9.63
2025-05-08 11:32:02,675.69,10.70
2025-05-08 11:32:03,667.72,11.76
2025-05-08 11:32:04,677.29,12.82
2025-05-08 11:32:05,685.26,13.88
2025-05-08 11:32:06,721.97,14.94
2025-05-08 11:32:07,736.35,16.00
2025-05-08 11:32:08,744.34,17.06
2025-05-08 11:32:09,729.96,18.10
2025-05-08 11:32:10,744.34,19.16
2025-05-08 11:32:11,760.34,20.20
2025-05-08 11:32:12,785.95,21.26
2025-05-08 11:32:13,790.76,22.30
2025-05-08 11:32:14,792.36,23.34
2025-05-08 11:32:15,797.17,24.38
2025-05-08 11:32:16,801.98,25.42
2025-05-08 11:32:17,837.27,26.46
2025-05-08 11:32:18,843.69,27.49
2025-05-08 11:32:19,853.33,28.53
2025-05-08 11:32:20,843.69,29.55
2025-05-08 11:32:21,850.12,30.59
2025-05-08 11:32:22,879.05,31.63
2025-05-08 11:32:23,903.19,32.65
2025-05-08 11:32:24,911.24,33.67
2025-05-08 11:32:25,898.36,34.71
2025-05-08 11:32:26,903.19,35.73
2025-05-08 11:32:27,937.02,36.74
2025-05-08 11:32:28,949.93,37.76
2025-05-08 11:32:29,954.77,38.78
2025-05-08 11:32:30,948.31,39.80
2025-05-08 11:32:31,959.61,40.82
2025-05-08 11:32:32,980.60,41.18
2025-05-08 11:32:33,995.14,42.09
2025-05-08 11:32:34,1017.78,42.30
2025-05-08 11:32:35,1008.08,43.32
2025-05-08 11:32:36,1004.84,44.00
2025-05-08 11:32:37,1009.69,44.34
2025-05-08 11:32:38,987.06,45.21
2025-05-08 11:32:39,1038.83,45.78
2025-05-08 11:32:40,1066.37,46.78
2025-05-08 11:32:41,1061.51,47.46
2025-05-08 11:32:42,1051.78,47.77
2025-05-08 11:32:43,1040.44,48.49
2025-05-08 11:32:44,1071.24,49.09
2025-05-08 11:32:45,1108.56,49.70
2025-05-08 11:32:46,1090.70,50.47
2025-05-08 11:32:47,1064.75,50.76
2025-05-08 11:32:48,1093.95,51.72
2025-05-08 11:32:49,1084.21,52.40
2025-05-08 11:32:50,1095.57,53.03
2025-05-08 11:32:51,1137.82,53.65
2025-05-08 11:32:52,1103.69,54.24
2025-05-08 11:32:53,1111.81,54.92
2025-05-08 11:32:54,1139.45,55.35
2025-05-08 11:32:55,1168.74,55.75
2025-05-08 11:32:56,1129.69,56.22
2025-05-08 11:32:57,1126.44,56.68
2025-05-08 11:32:58,1129.69,56.96
2025-05-08 11:32:59,1145.95,57.36
2025-05-08 11:33:00,1144.33,57.49
2025-05-08 11:33:01,1147.58,57.64
2025-05-08 11:33:02,1149.21,57.76
2025-05-08 11:33:03,1152.46,57.89
2025-05-08 11:33:04,1152.46,58.02
2025-05-08 11:33:05,1147.58,58.15
2025-05-08 11:33:06,1152.46,58.15
2025-05-08 11:33:07,1158.97,58.23
2025-05-08 11:33:08,1155.72,58.23
2025-05-08 11:33:09,1147.58,58.23
2025-05-08 11:33:10,1145.95,58.23
2025-05-08 11:33:11,1145.95,58.29
2025-05-08 11:33:12,1152.46,58.29
2025-05-08 11:33:13,1152.46,58.29
2025-05-08 11:33:14,1145.95,58.29
2025-05-08 11:33:15,1149.21,58.29
2025-05-08 11:33:16,1149.21,58.29
2025-05-08 11:33:17,1172.00,58.51
2025-05-08 11:33:18,1152.46,58.51
