time,力值曲线,位移曲线
2024-08-30 12:12:46,248.9,1.55
2024-08-30 12:12:47,288.44,3.27
2024-08-30 12:12:48,321.51,4.91
2024-08-30 12:12:49,360.54,6.54
2024-08-30 12:12:50,399.67,8.15
2024-08-30 12:12:51,441.22,9.69
2024-08-30 12:12:52,479.62,11.21
2024-08-30 12:12:53,524.54,12.72
2024-08-30 12:12:54,560.34,14.21
2024-08-30 12:12:55,603.57,15.63
2024-08-30 12:12:56,617.31,16.43
2024-08-30 12:12:57,615.59,16.43
2024-08-30 12:12:58,613.01,16.43
2024-08-30 12:12:59,612.15,16.43
2024-08-30 12:13:00,607.86,16.43
2024-08-30 12:13:01,608.71,16.43
2024-08-30 12:13:02,609.57,16.43
2024-08-30 12:13:03,608.71,16.43
2024-08-30 12:13:04,607.0,16.43
2024-08-30 12:13:05,607.0,16.43
2024-08-30 12:13:06,607.86,16.43
2024-08-30 12:13:07,604.43,16.43
2024-08-30 12:13:08,606.14,16.43
2024-08-30 12:13:09,606.14,16.43
2024-08-30 12:13:10,602.72,16.43
2024-08-30 12:13:11,605.29,16.43
2024-08-30 12:13:12,603.57,16.43
2024-08-30 12:13:13,604.43,16.43
2024-08-30 12:13:14,601.01,16.43
2024-08-30 12:13:15,599.3,16.43
2024-08-30 12:13:16,602.72,16.43
2024-08-30 12:13:17,601.86,16.43
2024-08-30 12:13:18,603.57,16.43
2024-08-30 12:13:19,598.44,16.43
2024-08-30 12:13:20,603.57,16.43
2024-08-30 12:13:21,599.3,16.43
2024-08-30 12:13:22,602.72,16.43
2024-08-30 12:13:23,601.01,16.43
2024-08-30 12:13:24,599.3,16.43
2024-08-30 12:13:25,601.01,16.43
2024-08-30 12:13:26,601.01,16.43
2024-08-30 12:13:27,599.3,16.43
2024-08-30 12:13:28,601.01,16.43
2024-08-30 12:13:29,600.15,16.43
2024-08-30 12:13:30,601.01,16.43
2024-08-30 12:13:31,600.15,16.43
2024-08-30 12:13:32,601.01,16.43
2024-08-30 12:13:33,596.74,16.43
2024-08-30 12:13:34,599.3,16.43
