time,3052（500kN）力值曲线,3052（500kN）位移曲线
2023-12-29 15:10:25,1004.11,-0.71
2023-12-29 15:10:26,1185.94,-0.24
2023-12-29 15:10:27,1328.63,0.22
2023-12-29 15:10:28,1431.80,0.68
2023-12-29 15:10:29,1501.82,1.14
2023-12-29 15:10:30,1538.55,1.61
2023-12-29 15:10:31,1578.64,2.07
2023-12-29 15:10:32,1622.12,2.52
2023-12-29 15:10:33,1645.55,2.98
2023-12-29 15:10:34,1658.95,3.44
2023-12-29 15:10:35,1705.86,3.90
2023-12-29 15:10:36,1702.51,4.36
2023-12-29 15:10:37,1739.40,4.81
2023-12-29 15:10:38,1545.23,4.88
2023-12-29 15:10:39,1541.89,4.88
2023-12-29 15:10:40,1581.99,5.20
2023-12-29 15:10:41,1568.62,5.20
2023-12-29 15:10:42,1766.25,5.26
2023-12-29 15:10:43,1578.64,5.43
2023-12-29 15:10:44,1571.96,5.43
2023-12-29 15:10:45,1595.36,5.61
2023-12-29 15:10:46,1578.64,5.61
2023-12-29 15:10:47,1769.61,5.72
2023-12-29 15:10:48,1585.33,5.79
2023-12-29 15:10:49,1558.59,5.79
2023-12-29 15:10:50,1581.99,5.97
2023-12-29 15:10:51,1585.33,5.97
2023-12-29 15:10:52,1575.30,6.16
2023-12-29 15:10:53,1588.67,6.16
2023-12-29 15:10:54,1786.40,6.18
2023-12-29 15:10:55,1595.36,6.35
2023-12-29 15:10:56,1578.64,6.35
2023-12-29 15:10:57,1598.71,6.52
2023-12-29 15:10:58,1578.64,6.52
2023-12-29 15:10:59,1783.04,6.63
2023-12-29 15:11:00,1581.99,6.71
2023-12-29 15:11:01,1585.33,6.71
2023-12-29 15:11:02,1588.67,6.90
2023-12-29 15:11:03,1585.33,6.90
2023-12-29 15:11:04,1642.21,7.07
2023-12-29 15:11:05,1595.36,7.07
2023-12-29 15:11:06,1712.57,7.08
2023-12-29 15:11:07,1598.71,7.26
2023-12-29 15:11:08,1585.33,7.26
2023-12-29 15:11:09,1608.74,7.44
2023-12-29 15:11:10,1595.36,7.44
2023-12-29 15:11:11,1793.11,7.53
2023-12-29 15:11:12,1605.39,7.63
2023-12-29 15:11:13,1585.33,7.63
2023-12-29 15:11:14,1605.39,7.80
2023-12-29 15:11:15,1598.71,7.80
2023-12-29 15:11:16,1783.04,7.99
2023-12-29 15:11:17,1816.63,8.45
2023-12-29 15:11:18,1823.36,8.91
2023-12-29 15:11:19,1836.81,9.36
2023-12-29 15:11:20,1840.17,9.82
2023-12-29 15:11:21,1840.17,10.28
2023-12-29 15:11:22,1873.81,10.74
2023-12-29 15:11:23,1873.81,11.20
2023-12-29 15:11:24,1873.81,11.65
2023-12-29 15:11:25,1873.81,12.11
2023-12-29 15:11:26,1894.01,12.57
2023-12-29 15:11:27,1894.01,13.03
2023-12-29 15:11:28,1910.84,13.48
2023-12-29 15:11:29,1900.74,13.93
2023-12-29 15:11:30,1910.84,14.39
2023-12-29 15:11:31,1924.32,14.85
2023-12-29 15:11:32,1927.69,15.31
2023-12-29 15:11:33,1924.32,15.77
2023-12-29 15:11:34,1937.80,16.23
2023-12-29 15:11:35,1937.80,16.67
2023-12-29 15:11:36,1958.02,17.13
2023-12-29 15:11:37,1961.39,17.59
2023-12-29 15:11:38,1971.51,18.05
2023-12-29 15:11:39,1974.88,18.51
