time,3050（500kN）力值曲线,3050（500kN）位移曲线
2023-12-22 12:10:38,1030.51,-0.73
2023-12-22 12:10:39,1159.44,-0.30
2023-12-22 12:10:40,1305.37,0.14
2023-12-22 12:10:41,1438.46,0.58
2023-12-22 12:10:42,1585.33,1.01
2023-12-22 12:10:43,1725.98,1.44
2023-12-22 12:10:44,1880.54,1.87
2023-12-22 12:10:45,1991.75,2.30
2023-12-22 12:10:46,2106.62,2.72
2023-12-22 12:10:47,2184.49,3.14
2023-12-22 12:10:48,2218.39,3.56
2023-12-22 12:10:49,2242.14,3.97
2023-12-22 12:10:50,2248.93,4.40
2023-12-22 12:10:51,2286.27,4.81
2023-12-22 12:10:52,2310.05,5.23
2023-12-22 12:10:53,2347.44,5.65
2023-12-22 12:10:54,2381.47,6.06
2023-12-22 12:10:55,2401.89,6.48
2023-12-22 12:10:56,2412.11,6.90
2023-12-22 12:10:57,2435.95,7.30
2023-12-22 12:10:58,2470.04,7.72
2023-12-22 12:10:59,2504.15,8.14
2023-12-22 12:11:00,2538.29,8.54
2023-12-22 12:11:01,2313.45,8.71
2023-12-22 12:11:02,2289.67,8.71
2023-12-22 12:11:03,2569.04,8.95
2023-12-22 12:11:04,2327.04,8.99
2023-12-22 12:11:05,2316.85,8.99
2023-12-22 12:11:06,2357.65,9.19
2023-12-22 12:11:07,2327.04,9.19
2023-12-22 12:11:08,2596.39,9.33
2023-12-22 12:11:09,2347.44,9.33
2023-12-22 12:11:10,2340.64,9.33
2023-12-22 12:11:11,2347.44,9.49
2023-12-22 12:11:12,2357.65,9.49
2023-12-22 12:11:13,2374.66,9.65
2023-12-22 12:11:14,2361.05,9.65
2023-12-22 12:11:15,2627.17,9.71
2023-12-22 12:11:16,2371.26,9.80
2023-12-22 12:11:17,2371.26,9.80
2023-12-22 12:11:18,2371.26,9.95
2023-12-22 12:11:19,2357.65,9.95
2023-12-22 12:11:20,2589.55,10.09
2023-12-22 12:11:21,2344.04,10.10
2023-12-22 12:11:22,2344.04,10.10
2023-12-22 12:11:23,2347.44,10.26
2023-12-22 12:11:24,2340.64,10.26
2023-12-22 12:11:25,2350.85,10.42
2023-12-22 12:11:26,2316.85,10.42
2023-12-22 12:11:27,2582.71,10.48
2023-12-22 12:11:28,2320.25,10.56
2023-12-22 12:11:29,2303.25,10.56
2023-12-22 12:11:30,2350.85,10.76
2023-12-22 12:11:31,2316.85,10.76
2023-12-22 12:11:32,2579.29,10.86
2023-12-22 12:11:33,2344.04,10.92
2023-12-22 12:11:34,2327.04,10.92
2023-12-22 12:11:35,2337.24,11.07
2023-12-22 12:11:36,2337.24,11.07
2023-12-22 12:11:37,2344.04,11.22
2023-12-22 12:11:38,2320.25,11.22
2023-12-22 12:11:39,2562.20,11.24
2023-12-22 12:11:40,2603.23,11.64
2023-12-22 12:11:41,2616.91,12.05
2023-12-22 12:11:42,2606.65,12.46
2023-12-22 12:11:43,2637.44,12.87
2023-12-22 12:11:44,2644.28,13.28
2023-12-22 12:11:45,2644.28,13.68
2023-12-22 12:11:46,2640.86,14.09
2023-12-22 12:11:47,2654.55,14.50
2023-12-22 12:11:48,2654.55,14.90
2023-12-22 12:11:49,2654.55,15.32
2023-12-22 12:11:50,2664.83,15.73
2023-12-22 12:11:51,2661.40,16.13
2023-12-22 12:11:52,2668.25,16.54
