time,3078（YDC-4000kN）力值曲线,3078（YDC-4000kN）位移曲线
2024-10-13 21:21:32,422.46,-0.90
2024-10-13 21:21:33,427.28,-0.50
2024-10-13 21:21:34,427.28,-0.12
2024-10-13 21:21:35,432.09,0.28
2024-10-13 21:21:36,434.50,0.66
2024-10-13 21:21:37,436.91,1.04
2024-10-13 21:21:38,439.32,1.44
2024-10-13 21:21:39,436.91,1.82
2024-10-13 21:21:40,441.73,2.22
2024-10-13 21:21:41,448.97,2.60
2024-10-13 21:21:42,451.38,2.99
2024-10-13 21:21:43,453.79,3.38
2024-10-13 21:21:44,453.79,3.76
2024-10-13 21:21:45,463.46,4.15
2024-10-13 21:21:46,461.04,4.54
2024-10-13 21:21:47,461.04,4.92
2024-10-13 21:21:48,468.29,5.32
2024-10-13 21:21:49,473.13,5.70
2024-10-13 21:21:50,473.13,6.08
2024-10-13 21:21:51,473.13,6.46
2024-10-13 21:21:52,482.81,6.86
2024-10-13 21:21:53,485.23,7.24
2024-10-13 21:21:54,487.66,7.62
2024-10-13 21:21:55,490.08,8.00
2024-10-13 21:21:56,494.93,8.40
2024-10-13 21:21:57,494.93,8.78
2024-10-13 21:21:58,504.63,9.16
2024-10-13 21:21:59,504.63,9.55
2024-10-13 21:22:00,509.49,9.93
2024-10-13 21:22:01,514.35,10.31
2024-10-13 21:22:02,511.92,10.69
2024-10-13 21:22:03,516.78,11.07
2024-10-13 21:22:04,524.08,11.46
2024-10-13 21:22:05,526.51,11.84
2024-10-13 21:22:06,533.81,12.22
2024-10-13 21:22:07,536.25,12.60
2024-10-13 21:22:08,536.25,12.98
2024-10-13 21:22:09,538.69,13.37
2024-10-13 21:22:10,543.56,13.75
2024-10-13 21:22:11,550.88,14.13
2024-10-13 21:22:12,553.32,14.51
2024-10-13 21:22:13,555.76,14.89
2024-10-13 21:22:14,560.64,15.28
2024-10-13 21:22:15,563.09,15.66
2024-10-13 21:22:16,565.53,16.04
2024-10-13 21:22:17,565.53,16.41
2024-10-13 21:22:18,567.97,16.79
2024-10-13 21:22:19,572.86,17.17
2024-10-13 21:22:20,577.76,17.55
2024-10-13 21:22:21,580.20,17.94
2024-10-13 21:22:22,580.20,18.30
2024-10-13 21:22:23,587.55,18.69
2024-10-13 21:22:24,585.10,19.07
2024-10-13 21:22:25,590.00,19.45
2024-10-13 21:22:26,594.90,19.82
2024-10-13 21:22:27,599.81,20.20
2024-10-13 21:22:28,604.72,20.58
2024-10-13 21:22:29,509.49,20.89
2024-10-13 21:22:30,492.50,20.89
2024-10-13 21:22:31,490.08,20.89
2024-10-13 21:22:32,485.23,20.89
2024-10-13 21:22:33,485.23,20.89
2024-10-13 21:22:34,480.39,20.89
2024-10-13 21:22:35,477.97,20.89
2024-10-13 21:22:36,475.55,20.89
