time,3073（YDC1200-200型kN）力值曲线,3073（YDC1200-200型kN）位移曲线
2024-08-31 00:45:53,234.25,1.60
2024-08-31 00:45:54,261.04,3.27
2024-08-31 00:45:55,287.56,4.91
2024-08-31 00:45:56,320.42,6.54
2024-08-31 00:45:57,350.92,8.10
2024-08-31 00:45:58,377.39,9.59
2024-08-31 00:45:59,407.34,11.06
2024-08-31 00:46:00,437.79,12.46
2024-08-31 00:46:01,469.53,13.85
2024-08-31 00:46:02,497.72,15.17
2024-08-31 00:46:03,531.24,16.49
2024-08-31 00:46:04,558.62,17.73
2024-08-31 00:46:05,588.04,18.97
2024-08-31 00:46:06,586.35,19.60
2024-08-31 00:46:07,583.81,19.60
2024-08-31 00:46:08,582.97,19.60
2024-08-31 00:46:09,578.75,19.60
2024-08-31 00:46:10,579.60,19.60
2024-08-31 00:46:11,572.02,19.60
2024-08-31 00:46:12,577.07,19.60
2024-08-31 00:46:13,576.23,19.60
2024-08-31 00:46:14,572.02,19.60
2024-08-31 00:46:15,575.38,19.60
2024-08-31 00:46:16,573.70,19.60
2024-08-31 00:46:17,569.50,19.60
2024-08-31 00:46:18,572.02,19.60
2024-08-31 00:46:19,572.02,19.60
2024-08-31 00:46:20,568.66,19.60
2024-08-31 00:46:21,568.66,19.60
2024-08-31 00:46:22,565.31,19.60
2024-08-31 00:46:23,569.50,19.60
2024-08-31 00:46:24,567.83,19.60
2024-08-31 00:46:25,568.66,19.60
2024-08-31 00:46:26,568.66,19.60
2024-08-31 00:46:27,565.31,19.60
2024-08-31 00:46:28,566.99,19.60
2024-08-31 00:46:29,565.31,19.60
2024-08-31 00:46:30,566.15,19.60
2024-08-31 00:46:31,566.15,19.60
2024-08-31 00:46:32,564.47,19.60
2024-08-31 00:46:33,564.47,19.60
2024-08-31 00:46:34,564.47,19.60
2024-08-31 00:46:35,564.47,19.60
2024-08-31 00:46:36,563.64,19.60
2024-08-31 00:46:37,563.64,19.60
2024-08-31 00:46:38,564.47,19.60
2024-08-31 00:46:39,557.79,19.60
2024-08-31 00:46:40,561.96,19.60
2024-08-31 00:46:41,561.96,19.60
2024-08-31 00:46:42,561.96,19.60
2024-08-31 00:46:43,558.62,19.60
2024-08-31 00:46:44,558.62,19.60
2024-08-31 00:46:45,561.13,19.60
2024-08-31 00:46:46,560.29,19.60
2024-08-31 00:46:47,561.96,19.60
2024-08-31 00:46:48,559.46,19.60
2024-08-31 00:46:49,556.12,19.60
2024-08-31 00:46:50,558.62,19.60
2024-08-31 00:46:51,557.79,19.60
2024-08-31 00:46:52,556.95,19.60
2024-08-31 00:46:53,558.62,19.60
2024-08-31 00:46:54,555.28,19.60
2024-08-31 00:46:55,558.62,19.60
2024-08-31 00:46:56,556.95,19.60
2024-08-31 00:46:57,556.95,19.60
2024-08-31 00:46:58,556.12,19.60
2024-08-31 00:46:59,557.79,19.60
