time,4047（300kN）力值曲线,4047（300kN）位移曲线
2025-04-17 10:06:25,312.10,1.10
2025-04-17 10:06:26,320.30,1.30
2025-04-17 10:06:27,320.30,1.30
2025-04-17 10:06:28,328.50,1.66
2025-04-17 10:06:29,320.30,1.66
2025-04-17 10:06:30,340.80,1.68
2025-04-17 10:06:31,318.25,1.86
2025-04-17 10:06:32,318.25,1.86
2025-04-17 10:06:33,326.45,2.26
2025-04-17 10:06:34,322.35,2.26
2025-04-17 10:06:35,312.10,2.33
2025-04-17 10:06:36,326.45,2.38
2025-04-17 10:06:37,324.40,2.38
2025-04-17 10:06:38,326.45,2.58
2025-04-17 10:06:39,320.30,2.58
2025-04-17 10:06:40,328.50,2.78
2025-04-17 10:06:41,328.50,2.78
2025-04-17 10:06:42,336.70,2.98
2025-04-17 10:06:43,328.50,2.98
2025-04-17 10:06:44,326.45,2.98
2025-04-17 10:06:45,328.50,3.11
2025-04-17 10:06:46,324.40,3.11
2025-04-17 10:06:47,330.55,3.34
2025-04-17 10:06:48,328.50,3.34
2025-04-17 10:06:49,322.35,3.34
2025-04-17 10:06:50,328.50,3.34
2025-04-17 10:06:51,326.45,3.34
2025-04-17 10:06:52,328.50,3.34
2025-04-17 10:06:53,324.40,3.34
2025-04-17 10:06:54,328.50,3.34
2025-04-17 10:06:55,328.50,3.34
2025-04-17 10:06:56,328.50,3.34
2025-04-17 10:06:57,326.45,3.34
2025-04-17 10:06:58,326.45,3.34
2025-04-17 10:06:59,328.50,3.34
2025-04-17 10:07:00,330.55,3.34
2025-04-17 10:07:01,330.55,3.34
2025-04-17 10:07:02,330.55,3.34
2025-04-17 10:07:03,328.50,3.34
2025-04-17 10:07:04,330.55,3.34
2025-04-17 10:07:05,334.65,3.34
2025-04-17 10:07:06,334.65,3.34
2025-04-17 10:07:07,334.65,3.34
2025-04-17 10:07:08,336.70,3.34
2025-04-17 10:07:09,373.62,3.96
2025-04-17 10:07:10,412.60,4.64
2025-04-17 10:07:11,439.27,5.34
2025-04-17 10:07:12,453.64,6.02
2025-04-17 10:07:13,465.95,6.67
2025-04-17 10:07:14,470.05,7.35
2025-04-17 10:07:15,465.95,8.02
2025-04-17 10:07:16,453.64,8.70
2025-04-17 10:07:17,441.32,9.38
2025-04-17 10:07:18,433.11,10.05
2025-04-17 10:07:19,433.11,10.73
2025-04-17 10:07:20,455.69,11.41
2025-04-17 10:07:21,478.26,12.08
2025-04-17 10:07:22,507.00,12.76
2025-04-17 10:07:23,525.48,13.41
2025-04-17 10:07:24,531.64,14.09
2025-04-17 10:07:25,543.96,14.77
2025-04-17 10:07:26,529.59,15.44
2025-04-17 10:07:27,494.69,16.10
2025-04-17 10:07:28,486.48,16.77
2025-04-17 10:07:29,496.74,17.45
2025-04-17 10:07:30,517.27,18.13
2025-04-17 10:07:31,541.91,18.80
2025-04-17 10:07:32,560.39,19.48
2025-04-17 10:07:33,578.88,20.13
2025-04-17 10:07:34,587.09,20.81
2025-04-17 10:07:35,585.04,21.49
2025-04-17 10:07:36,566.55,22.14
2025-04-17 10:07:37,556.28,22.82
2025-04-17 10:07:38,546.02,23.47
2025-04-17 10:07:39,558.34,24.14
2025-04-17 10:07:40,580.93,24.82
2025-04-17 10:07:41,613.80,25.50
2025-04-17 10:07:42,632.29,26.15
2025-04-17 10:07:43,644.62,26.83
2025-04-17 10:07:44,644.62,27.48
2025-04-17 10:07:45,628.18,28.16
2025-04-17 10:07:46,601.47,28.81
2025-04-17 10:07:47,601.47,29.48
2025-04-17 10:07:48,617.91,30.14
2025-04-17 10:07:49,646.67,30.81
2025-04-17 10:07:50,667.22,31.46
2025-04-17 10:07:51,683.66,32.14
2025-04-17 10:07:52,691.89,32.79
2025-04-17 10:07:53,675.44,33.47
2025-04-17 10:07:54,663.11,34.12
2025-04-17 10:07:55,648.73,34.80
2025-04-17 10:07:56,652.84,35.45
2025-04-17 10:07:57,679.55,36.13
2025-04-17 10:07:58,712.44,36.78
2025-04-17 10:07:59,730.95,37.46
2025-04-17 10:08:00,743.28,38.11
2025-04-17 10:08:01,739.17,38.79
2025-04-17 10:08:02,698.05,39.44
2025-04-17 10:08:03,677.50,40.11
2025-04-17 10:08:04,698.05,40.77
2025-04-17 10:08:05,739.17,41.44
2025-04-17 10:08:06,761.79,42.09
2025-04-17 10:08:07,772.07,42.75
2025-04-17 10:08:08,780.30,43.42
2025-04-17 10:08:09,757.68,44.08
2025-04-17 10:08:10,735.06,44.73
2025-04-17 10:08:11,739.17,45.40
2025-04-17 10:08:12,763.85,46.06
2025-04-17 10:08:13,782.35,46.73
2025-04-17 10:08:14,807.04,47.38
2025-04-17 10:08:15,815.27,48.04
2025-04-17 10:08:16,794.70,48.69
2025-04-17 10:08:17,772.07,49.37
2025-04-17 10:08:18,765.90,50.02
2025-04-17 10:08:19,798.81,50.67
2025-04-17 10:08:20,839.95,51.32
2025-04-17 10:08:21,856.42,51.97
2025-04-17 10:08:22,858.47,52.65
2025-04-17 10:08:23,815.27,53.30
2025-04-17 10:08:24,802.92,53.95
