time,3053（500kN）力值曲线,3053（500kN）位移曲线
2023-12-22 10:51:30,1116.42,-0.86
2023-12-22 10:51:31,1103.19,-0.54
2023-12-22 10:51:32,1219.08,-0.21
2023-12-22 10:51:33,1212.45,0.11
2023-12-22 10:51:34,1242.30,0.43
2023-12-22 10:51:35,1245.61,0.75
2023-12-22 10:51:36,1255.57,1.08
2023-12-22 10:51:37,1262.21,1.39
2023-12-22 10:51:38,1258.89,1.71
2023-12-22 10:51:39,1238.98,2.04
2023-12-22 10:51:40,1225.71,2.36
2023-12-22 10:51:41,1116.42,2.67
2023-12-22 10:51:42,1050.32,2.67
2023-12-22 10:51:43,1152.82,2.67
2023-12-22 10:51:44,1335.28,2.99
2023-12-22 10:51:45,1047.02,3.04
2023-12-22 10:51:46,1053.62,3.04
2023-12-22 10:51:47,1089.97,3.29
2023-12-22 10:51:48,1060.23,3.29
2023-12-22 10:51:49,1199.19,3.29
2023-12-22 10:51:50,1325.31,3.61
2023-12-22 10:51:51,1040.41,3.63
2023-12-22 10:51:52,1040.41,3.63
2023-12-22 10:51:53,1308.69,3.92
2023-12-22 10:51:54,1305.37,4.23
2023-12-22 10:51:55,1063.53,4.35
2023-12-22 10:51:56,1047.02,4.35
2023-12-22 10:51:57,1282.12,4.54
2023-12-22 10:51:58,1053.62,4.74
2023-12-22 10:51:59,1047.02,4.74
2023-12-22 10:52:00,1262.21,4.85
2023-12-22 10:52:01,1328.63,5.16
2023-12-22 10:52:02,1056.93,5.18
2023-12-22 10:52:03,1040.41,5.18
2023-12-22 10:52:04,1063.53,5.43
2023-12-22 10:52:05,1053.62,5.43
2023-12-22 10:52:06,1335.28,5.47
2023-12-22 10:52:07,1060.23,5.65
2023-12-22 10:52:08,1053.62,5.65
2023-12-22 10:52:09,1341.93,5.78
2023-12-22 10:52:10,1043.72,5.87
2023-12-22 10:52:11,1047.02,5.87
2023-12-22 10:52:12,1341.93,6.10
2023-12-22 10:52:13,1047.02,6.11
2023-12-22 10:52:14,1047.02,6.11
2023-12-22 10:52:15,1338.61,6.41
2023-12-22 10:52:16,1345.26,6.72
2023-12-22 10:52:17,1335.28,7.04
2023-12-22 10:52:18,1351.91,7.36
2023-12-22 10:52:19,1335.28,7.68
2023-12-22 10:52:20,1351.91,7.99
2023-12-22 10:52:21,1345.26,8.31
2023-12-22 10:52:22,1338.61,8.64
2023-12-22 10:52:23,1335.28,8.95
2023-12-22 10:52:24,1321.99,9.27
2023-12-22 10:52:25,1341.93,9.58
2023-12-22 10:52:26,1338.61,9.91
2023-12-22 10:52:27,1425.13,10.23
2023-12-22 10:52:28,1308.69,10.55
2023-12-22 10:52:29,1335.28,10.86
2023-12-22 10:52:30,1335.28,11.19
2023-12-22 10:52:31,1428.47,11.51
2023-12-22 10:52:32,1331.96,11.83
2023-12-22 10:52:33,1345.26,12.14
2023-12-22 10:52:34,1338.61,12.47
2023-12-22 10:52:35,1461.79,12.79
2023-12-22 10:52:36,1338.61,13.10
2023-12-22 10:52:37,1345.26,13.42
2023-12-22 10:52:38,1348.58,13.75
2023-12-22 10:52:39,1468.46,14.06
2023-12-22 10:52:40,1368.54,14.38
2023-12-22 10:52:41,1391.83,14.71
2023-12-22 10:52:42,1388.51,15.02
2023-12-22 10:52:43,1391.83,15.34
2023-12-22 10:52:44,1391.83,15.66
2023-12-22 10:52:45,1415.14,15.98
2023-12-22 10:52:46,1405.15,16.30
2023-12-22 10:52:47,1405.15,16.62
2023-12-22 10:52:48,1411.81,16.93
2023-12-22 10:52:49,1418.47,17.26
2023-12-22 10:52:50,1431.80,17.58
2023-12-22 10:52:51,1421.80,17.89
2023-12-22 10:52:52,1438.46,18.21
2023-12-22 10:52:53,1435.13,18.54
2023-12-22 10:52:54,1445.13,18.86
2023-12-22 10:52:55,1441.79,19.17
2023-12-22 10:52:56,1445.13,19.49
2023-12-22 10:52:57,1461.79,19.82
2023-12-22 10:52:58,1461.79,20.13
2023-12-22 10:52:59,1451.79,20.45
2023-12-22 10:53:00,1461.79,20.77
2023-12-22 10:53:01,1475.13,21.09
2023-12-22 10:53:02,1478.47,21.41
2023-12-22 10:53:03,1461.79,21.73
2023-12-22 10:53:04,1475.13,22.06
2023-12-22 10:53:05,1488.47,22.37
2023-12-22 10:53:06,1491.81,22.69
2023-12-22 10:53:07,1488.47,23.01
2023-12-22 10:53:08,1488.47,23.33
2023-12-22 10:53:09,1501.82,23.65
2023-12-22 10:53:10,1488.47,23.97
2023-12-22 10:53:11,1505.16,24.28
2023-12-22 10:53:12,1518.51,24.61
2023-12-22 10:53:13,1525.19,24.93
2023-12-22 10:53:14,1505.16,25.24
2023-12-22 10:53:15,1511.83,25.56
2023-12-22 10:53:16,1521.85,25.89
2023-12-22 10:53:17,1528.53,26.20
2023-12-22 10:53:18,1535.21,26.52
2023-12-22 10:53:19,1531.87,26.84
2023-12-22 10:53:20,1545.23,27.17
2023-12-22 10:53:21,1535.21,27.48
2023-12-22 10:53:22,1535.21,27.80
2023-12-22 10:53:23,1551.91,28.13
2023-12-22 10:53:24,1558.59,28.44
2023-12-22 10:53:25,1571.96,28.76
2023-12-22 10:53:26,1571.96,29.08
2023-12-22 10:53:27,1561.93,29.40
2023-12-22 10:53:28,1478.47,29.72
2023-12-22 10:53:29,1595.36,30.04
2023-12-22 10:53:30,1608.74,30.35
2023-12-22 10:53:31,1465.13,30.68
2023-12-22 10:53:32,1495.15,30.99
2023-12-22 10:53:33,1505.16,31.31
2023-12-22 10:53:34,1608.74,31.63
2023-12-22 10:53:35,1518.51,31.95
2023-12-22 10:53:36,1545.23,32.27
2023-12-22 10:53:37,1535.21,32.58
2023-12-22 10:53:38,1531.87,32.90
2023-12-22 10:53:39,1551.91,33.23
2023-12-22 10:53:40,1575.30,33.54
2023-12-22 10:53:41,1578.64,33.86
2023-12-22 10:53:42,1575.30,34.18
2023-12-22 10:53:43,1592.02,34.50
2023-12-22 10:53:44,1612.09,34.82
2023-12-22 10:53:45,1605.39,35.14
2023-12-22 10:53:46,1605.39,35.45
2023-12-22 10:53:47,1612.09,35.78
2023-12-22 10:53:48,1605.39,36.10
2023-12-22 10:53:49,1628.82,36.42
2023-12-22 10:53:50,1625.47,36.73
2023-12-22 10:53:51,1598.71,37.06
2023-12-22 10:53:52,1665.65,37.37
2023-12-22 10:53:53,1672.35,37.69
2023-12-22 10:53:54,1565.27,38.01
2023-12-22 10:53:55,1598.71,38.33
2023-12-22 10:53:56,1608.74,38.64
2023-12-22 10:53:57,1615.43,38.95
2023-12-22 10:53:58,1632.16,39.28
2023-12-22 10:53:59,1655.60,39.59
2023-12-22 10:54:00,1642.21,39.91
2023-12-22 10:54:01,1652.25,40.22
2023-12-22 10:54:02,1669.00,40.55
2023-12-22 10:54:03,1682.40,40.86
2023-12-22 10:54:04,1692.45,41.17
2023-12-22 10:54:05,1598.71,41.49
2023-12-22 10:54:06,1652.25,41.81
2023-12-22 10:54:07,1662.30,42.13
2023-12-22 10:54:08,1665.65,42.44
2023-12-22 10:54:09,1682.40,42.75
2023-12-22 10:54:10,1705.86,43.08
2023-12-22 10:54:11,1712.57,43.39
2023-12-22 10:54:12,1638.86,43.71
2023-12-22 10:54:13,1669.00,44.02
2023-12-22 10:54:14,1689.10,44.33
2023-12-22 10:54:15,1695.80,44.66
2023-12-22 10:54:16,1712.57,44.97
2023-12-22 10:54:17,1702.51,45.28
2023-12-22 10:54:18,1652.25,45.61
2023-12-22 10:54:19,1682.40,45.92
2023-12-22 10:54:20,1712.57,46.24
2023-12-22 10:54:21,1712.57,46.55
2023-12-22 10:54:22,1705.86,46.86
2023-12-22 10:54:23,1642.21,47.19
2023-12-22 10:54:24,1665.65,47.50
2023-12-22 10:54:25,1699.15,47.81
2023-12-22 10:54:26,1712.57,48.13
2023-12-22 10:54:27,1746.11,48.45
2023-12-22 10:54:28,1749.47,48.76
2023-12-22 10:54:29,1652.25,49.08
2023-12-22 10:54:30,1699.15,49.39
2023-12-22 10:54:31,1712.57,49.71
2023-12-22 10:54:32,1722.63,50.03
2023-12-22 10:54:33,1746.11,50.34
2023-12-22 10:54:34,1742.75,50.65
2023-12-22 10:54:35,1776.32,50.98
2023-12-22 10:54:36,1682.40,51.29
2023-12-22 10:54:37,1712.57,51.60
2023-12-22 10:54:38,1749.47,51.91
2023-12-22 10:54:39,1762.89,52.24
2023-12-22 10:54:40,1783.04,52.55
2023-12-22 10:54:41,1806.55,52.86
2023-12-22 10:54:42,1779.68,53.17
2023-12-22 10:54:43,1752.82,53.50
2023-12-22 10:54:44,1779.68,53.81
2023-12-22 10:54:45,1789.75,54.12
2023-12-22 10:54:46,1789.75,54.43
2023-12-22 10:54:47,1712.57,54.76
2023-12-22 10:54:48,1739.40,55.07
2023-12-22 10:54:49,1762.89,55.38
2023-12-22 10:54:50,1793.11,55.69
2023-12-22 10:54:51,1809.91,56.02
2023-12-22 10:54:52,1840.17,56.33
2023-12-22 10:54:53,1752.82,56.64
2023-12-22 10:54:54,1766.25,56.95
2023-12-22 10:54:55,1813.27,57.28
2023-12-22 10:54:56,1809.91,57.59
2023-12-22 10:54:57,1820.00,57.90
2023-12-22 10:54:58,1820.00,58.22
2023-12-22 10:54:59,1759.53,58.54
2023-12-22 10:55:00,1793.11,58.85
2023-12-22 10:55:01,1820.00,59.16
2023-12-22 10:55:02,1836.81,59.47
2023-12-22 10:55:03,1877.17,59.80
2023-12-22 10:55:04,1779.68,60.11
2023-12-22 10:55:05,1840.17,60.42
2023-12-22 10:55:06,1846.89,60.74
2023-12-22 10:55:07,1863.71,61.06
2023-12-22 10:55:08,1793.11,61.37
2023-12-22 10:55:09,1836.81,61.68
2023-12-22 10:55:10,1850.26,61.99
2023-12-22 10:55:11,1877.17,62.31
2023-12-22 10:55:12,1796.47,62.63
2023-12-22 10:55:13,1833.44,62.94
2023-12-22 10:55:14,1867.08,63.25
2023-12-22 10:55:15,1894.01,63.56
2023-12-22 10:55:16,1914.21,63.88
2023-12-22 10:55:17,1870.44,64.20
2023-12-22 10:55:18,1846.89,64.51
2023-12-22 10:55:19,1883.91,64.82
2023-12-22 10:55:20,1877.17,65.14
2023-12-22 10:55:21,1793.11,65.45
2023-12-22 10:55:22,1863.71,65.76
2023-12-22 10:55:23,1867.08,66.07
2023-12-22 10:55:24,1887.27,66.39
2023-12-22 10:55:25,1826.72,66.69
2023-12-22 10:55:26,1856.99,67.00
2023-12-22 10:55:27,1880.54,67.31
2023-12-22 10:55:28,1628.82,67.54
2023-12-22 10:55:29,1605.39,67.54
2023-12-22 10:55:30,1786.40,67.61
2023-12-22 10:55:31,1856.99,67.93
2023-12-22 10:55:32,1904.11,68.23
2023-12-22 10:55:33,1920.95,68.54
2023-12-22 10:55:34,1860.35,68.84
2023-12-22 10:55:35,1900.74,69.14
2023-12-22 10:55:36,1897.37,69.46
2023-12-22 10:55:37,1954.65,69.76
2023-12-22 10:55:38,1900.74,70.07
2023-12-22 10:55:39,1900.74,70.38
2023-12-22 10:55:40,1961.39,70.69
2023-12-22 10:55:41,1974.88,71.00
2023-12-22 10:55:42,1894.01,71.30
2023-12-22 10:55:43,1941.17,71.61
2023-12-22 10:55:44,1964.77,71.92
2023-12-22 10:55:45,1887.27,72.23
2023-12-22 10:55:46,1954.65,72.54
2023-12-22 10:55:47,1978.26,72.85
2023-12-22 10:55:48,1900.74,73.16
2023-12-22 10:55:49,1961.39,73.48
2023-12-22 10:55:50,2005.25,73.78
2023-12-22 10:55:51,1682.40,73.88
2023-12-22 10:55:52,1665.65,73.88
2023-12-22 10:55:53,1941.17,74.09
2023-12-22 10:55:54,1961.39,74.39
2023-12-22 10:55:55,1954.65,74.70
2023-12-22 10:55:56,2001.87,75.02
2023-12-22 10:55:57,1934.43,75.32
2023-12-22 10:55:58,1981.63,75.63
2023-12-22 10:55:59,1991.75,75.94
2023-12-22 10:56:00,1961.39,76.26
2023-12-22 10:56:01,1995.13,76.57
2023-12-22 10:56:02,1968.14,76.88
2023-12-22 10:56:03,1961.39,77.19
2023-12-22 10:56:04,1995.13,77.50
2023-12-22 10:56:05,1927.69,77.82
2023-12-22 10:56:06,1998.50,78.13
2023-12-22 10:56:07,2018.75,78.44
2023-12-22 10:56:08,1988.38,78.75
2023-12-22 10:56:09,2012.00,79.07
2023-12-22 10:56:10,1961.39,79.38
2023-12-22 10:56:11,2025.51,79.69
2023-12-22 10:56:12,2069.43,80.00
2023-12-22 10:56:13,1752.82,80.22
2023-12-22 10:56:14,1712.57,80.22
2023-12-22 10:56:15,1991.75,80.30
2023-12-22 10:56:16,1998.50,80.62
2023-12-22 10:56:17,1937.80,80.93
2023-12-22 10:56:18,2018.75,81.24
2023-12-22 10:56:19,2039.01,81.54
2023-12-22 10:56:20,2012.00,81.86
2023-12-22 10:56:21,2045.77,82.17
2023-12-22 10:56:22,2005.25,82.48
2023-12-22 10:56:23,2076.19,82.79
2023-12-22 10:56:24,2045.77,83.11
2023-12-22 10:56:25,2028.88,83.42
2023-12-22 10:56:26,2076.19,83.73
2023-12-22 10:56:27,2018.75,84.04
2023-12-22 10:56:28,2049.15,84.37
2023-12-22 10:56:29,1985.00,84.68
2023-12-22 10:56:30,2066.05,84.99
2023-12-22 10:56:31,2076.19,85.30
2023-12-22 10:56:32,2045.77,85.61
2023-12-22 10:56:33,2093.09,85.93
2023-12-22 10:56:34,2035.64,86.24
2023-12-22 10:56:35,1856.99,86.55
2023-12-22 10:56:36,1793.11,86.55
2023-12-22 10:56:37,1998.50,86.55
2023-12-22 10:56:38,2059.29,86.86
2023-12-22 10:56:39,2099.86,87.18
2023-12-22 10:56:40,2055.91,87.49
2023-12-22 10:56:41,2086.33,87.80
2023-12-22 10:56:42,2143.85,88.10
2023-12-22 10:56:43,2089.71,88.42
2023-12-22 10:56:44,2130.31,88.73
2023-12-22 10:56:45,2072.81,89.04
2023-12-22 10:56:46,2167.55,89.35
2023-12-22 10:56:47,2126.92,89.67
2023-12-22 10:56:48,2045.77,89.99
2023-12-22 10:56:49,2103.24,90.30
2023-12-22 10:56:50,2143.85,90.61
2023-12-22 10:56:51,2110.00,90.92
2023-12-22 10:56:52,2130.31,91.24
2023-12-22 10:56:53,2062.67,91.55
2023-12-22 10:56:54,2143.85,91.86
2023-12-22 10:56:55,2194.66,92.17
2023-12-22 10:56:56,2143.85,92.49
2023-12-22 10:56:57,2187.88,92.80
2023-12-22 10:56:58,1843.53,92.85
2023-12-22 10:56:59,1840.17,92.85
2023-12-22 10:57:00,2126.92,93.10
2023-12-22 10:57:01,2120.15,93.41
2023-12-22 10:57:02,2167.55,93.72
2023-12-22 10:57:03,2147.23,94.04
2023-12-22 10:57:04,2187.88,94.35
2023-12-22 10:57:05,2143.85,94.66
2023-12-22 10:57:06,2187.88,94.97
2023-12-22 10:57:07,2133.69,95.29
2023-12-22 10:57:08,2147.23,95.60
2023-12-22 10:57:09,2089.71,95.91
2023-12-22 10:57:10,2164.17,96.22
2023-12-22 10:57:11,2198.05,96.54
2023-12-22 10:57:12,2198.05,96.86
2023-12-22 10:57:13,2242.14,97.17
2023-12-22 10:57:14,2194.66,97.48
2023-12-22 10:57:15,2130.31,97.80
2023-12-22 10:57:16,2201.44,98.11
2023-12-22 10:57:17,2160.78,98.42
2023-12-22 10:57:18,2228.57,98.74
2023-12-22 10:57:19,2181.11,99.06
2023-12-22 10:57:20,1920.95,99.16
2023-12-22 10:57:21,1880.54,99.16
2023-12-22 10:57:22,2184.49,99.36
2023-12-22 10:57:23,2157.39,99.67
2023-12-22 10:57:24,2238.75,99.97
2023-12-22 10:57:25,2204.83,100.28
2023-12-22 10:57:26,2154.01,100.59
2023-12-22 10:57:27,2228.57,100.90
2023-12-22 10:57:28,2228.57,101.21
2023-12-22 10:57:29,2262.50,101.52
2023-12-22 10:57:30,2187.88,101.83
2023-12-22 10:57:31,2174.33,102.14
2023-12-22 10:57:32,2238.75,102.45
2023-12-22 10:57:33,2150.62,102.76
2023-12-22 10:57:34,2265.90,103.07
2023-12-22 10:57:35,2228.57,103.39
2023-12-22 10:57:36,2201.44,103.70
2023-12-22 10:57:37,2245.53,104.01
2023-12-22 10:57:38,2191.27,104.32
2023-12-22 10:57:39,2289.67,104.64
2023-12-22 10:57:40,1998.50,104.93
2023-12-22 10:57:41,1961.39,104.93
2023-12-22 10:57:42,1937.80,104.93
2023-12-22 10:57:43,1920.95,104.93
2023-12-22 10:57:44,1917.58,104.93
2023-12-22 10:57:45,1910.84,104.93
2023-12-22 10:57:46,1910.84,104.93
2023-12-22 10:57:47,1914.21,104.93
2023-12-22 10:57:48,1910.84,104.93
2023-12-22 10:57:49,1910.84,104.93
2023-12-22 10:57:50,1900.74,104.93
2023-12-22 10:57:51,1907.47,104.93
2023-12-22 10:57:52,1900.74,104.93
2023-12-22 10:57:53,1897.37,104.93
2023-12-22 10:57:54,1897.37,104.93
2023-12-22 10:57:55,1900.74,104.93
2023-12-22 10:57:56,1900.74,104.93
2023-12-22 10:57:57,1894.01,104.93
2023-12-22 10:57:58,1890.64,104.93
2023-12-22 10:57:59,1894.01,104.93
2023-12-22 10:58:00,1894.01,104.93
2023-12-22 10:58:01,1894.01,104.93
2023-12-22 10:58:02,1894.01,104.93
2023-12-22 10:58:03,1894.01,104.93
2023-12-22 10:58:04,1877.17,104.93
2023-12-22 10:58:05,1894.01,104.93
2023-12-22 10:58:06,1894.01,104.93
2023-12-22 10:58:07,1894.01,104.93
2023-12-22 10:58:08,1887.27,104.93
2023-12-22 10:58:09,1894.01,104.93
2023-12-22 10:58:10,1877.17,104.93
2023-12-22 10:58:11,1890.64,104.93
2023-12-22 10:58:12,1894.01,104.93
2023-12-22 10:58:13,1880.54,104.93
2023-12-22 10:58:14,1887.27,104.93
2023-12-22 10:58:15,1877.17,104.93
2023-12-22 10:58:16,1890.64,104.93
2023-12-22 10:58:17,1890.64,104.93
2023-12-22 10:58:18,1887.27,104.93
2023-12-22 10:58:19,1880.54,104.93
2023-12-22 10:58:20,1887.27,104.93
2023-12-22 10:58:21,1890.64,104.93
2023-12-22 10:58:22,1887.27,104.93
2023-12-22 10:58:23,1877.17,104.93
2023-12-22 10:58:24,1890.64,104.93
2023-12-22 10:58:25,1883.91,104.93
2023-12-22 10:58:26,1887.27,104.93
2023-12-22 10:58:27,1877.17,104.93
2023-12-22 10:58:28,1883.91,104.93
2023-12-22 10:58:29,1867.08,104.93
2023-12-22 10:58:30,1883.91,104.93
2023-12-22 10:58:31,1880.54,104.93
2023-12-22 10:58:32,1880.54,104.93
2023-12-22 10:58:33,1880.54,104.93
2023-12-22 10:58:34,1880.54,104.93
2023-12-22 10:58:35,1877.17,104.93
2023-12-22 10:58:36,1880.54,104.93
2023-12-22 10:58:37,1880.54,104.93
2023-12-22 10:58:38,1877.17,104.93
2023-12-22 10:58:39,1863.71,104.93
2023-12-22 10:58:40,1863.71,104.93
2023-12-22 10:58:41,1877.17,104.93
2023-12-22 10:58:42,1877.17,104.93
2023-12-22 10:58:43,1877.17,104.93
2023-12-22 10:58:44,1873.81,104.93
2023-12-22 10:58:45,1860.35,104.93
2023-12-22 10:58:46,1873.81,104.93
2023-12-22 10:58:47,1877.17,104.93
2023-12-22 10:58:48,1860.35,104.93
2023-12-22 10:58:49,1860.35,104.93
2023-12-22 10:58:50,1870.44,104.93
2023-12-22 10:58:51,1863.71,104.93
2023-12-22 10:58:52,1873.81,104.93
2023-12-22 10:58:53,1873.81,104.93
2023-12-22 10:58:54,1870.44,104.93
2023-12-22 10:58:55,1860.35,104.93
2023-12-22 10:58:56,1877.17,104.93
2023-12-22 10:58:57,1856.99,104.93
2023-12-22 10:58:58,1873.81,104.93
2023-12-22 10:58:59,1867.08,104.93
2023-12-22 10:59:00,1873.81,104.93
2023-12-22 10:59:01,1867.08,104.93
2023-12-22 10:59:02,1863.71,104.93
2023-12-22 10:59:03,1863.71,104.93
2023-12-22 10:59:04,1867.08,104.93
2023-12-22 10:59:05,1863.71,104.93
2023-12-22 10:59:06,1863.71,104.93
2023-12-22 10:59:07,1867.08,104.93
2023-12-22 10:59:08,1867.08,104.93
2023-12-22 10:59:09,1853.62,104.93
2023-12-22 10:59:10,1853.62,104.93
2023-12-22 10:59:11,1840.17,104.93
