time,3056（200kN）力值曲线,3056（200kN）位移曲线
2024-04-28 08:23:13,467.13,0.75
2024-04-28 08:23:14,498.76,1.67
2024-04-28 08:23:15,457.91,1.70
2024-04-28 08:23:16,455.27,1.70
2024-04-28 08:23:17,464.50,2.01
2024-04-28 08:23:18,463.18,2.01
2024-04-28 08:23:19,465.82,2.24
2024-04-28 08:23:20,465.82,2.24
2024-04-28 08:23:21,472.41,2.49
2024-04-28 08:23:22,467.13,2.49
2024-04-28 08:23:23,510.62,2.68
2024-04-28 08:23:24,476.36,2.74
2024-04-28 08:23:25,514.57,2.74
2024-04-28 08:23:26,480.31,2.88
2024-04-28 08:23:27,480.31,2.88
2024-04-28 08:23:28,485.58,2.99
2024-04-28 08:23:29,484.27,2.99
2024-04-28 08:23:30,488.22,3.08
2024-04-28 08:23:31,486.90,3.08
2024-04-28 08:23:32,488.22,3.16
2024-04-28 08:23:33,485.58,3.16
2024-04-28 08:23:34,492.17,3.22
2024-04-28 08:23:35,489.54,3.22
2024-04-28 08:23:36,496.13,3.30
2024-04-28 08:23:37,493.49,3.30
2024-04-28 08:23:38,498.76,3.36
2024-04-28 08:23:39,496.13,3.36
2024-04-28 08:23:40,496.13,3.36
2024-04-28 08:23:41,493.49,3.36
2024-04-28 08:23:42,490.86,3.36
2024-04-28 08:23:43,500.08,3.44
2024-04-28 08:23:44,498.76,3.44
2024-04-28 08:23:45,496.13,3.44
2024-04-28 08:23:46,493.49,3.44
2024-04-28 08:23:47,497.44,3.44
2024-04-28 08:23:48,493.49,3.44
2024-04-28 08:23:49,496.13,3.44
2024-04-28 08:23:50,496.13,3.44
2024-04-28 08:23:51,496.13,3.44
2024-04-28 08:23:52,493.49,3.44
2024-04-28 08:23:53,496.13,3.44
2024-04-28 08:23:54,490.86,3.44
2024-04-28 08:23:55,493.49,3.44
2024-04-28 08:23:56,490.86,3.44
2024-04-28 08:23:57,494.81,3.44
2024-04-28 08:23:58,501.40,3.53
2024-04-28 08:23:59,498.76,3.53
2024-04-28 08:24:00,498.76,3.53
2024-04-28 08:24:01,496.13,3.53
2024-04-28 08:24:02,494.81,3.53
2024-04-28 08:24:03,498.76,3.53
2024-04-28 08:24:04,498.76,3.53
2024-04-28 08:24:05,497.44,3.53
2024-04-28 08:24:06,498.76,3.53
2024-04-28 08:24:07,494.81,3.53
2024-04-28 08:24:08,494.81,3.53
2024-04-28 08:24:09,497.44,3.53
2024-04-28 08:24:10,496.13,3.53
2024-04-28 08:24:11,496.13,3.53
2024-04-28 08:24:12,497.44,3.53
2024-04-28 08:24:13,496.13,3.53
2024-04-28 08:24:14,496.13,3.53
2024-04-28 08:24:15,505.35,3.58
2024-04-28 08:24:16,501.40,3.58
2024-04-28 08:24:17,534.32,4.20
2024-04-28 08:24:18,510.62,5.10
2024-04-28 08:24:19,534.32,6.00
2024-04-28 08:24:20,560.65,6.87
2024-04-28 08:24:21,577.75,7.74
2024-04-28 08:24:22,572.49,8.61
2024-04-28 08:24:23,550.12,9.50
2024-04-28 08:24:24,559.33,10.38
2024-04-28 08:24:25,588.28,11.25
2024-04-28 08:24:26,608.01,12.12
2024-04-28 08:24:27,606.69,12.96
2024-04-28 08:24:28,576.44,13.83
2024-04-28 08:24:29,581.70,14.70
2024-04-28 08:24:30,626.42,15.54
2024-04-28 08:24:31,635.62,16.41
2024-04-28 08:24:32,631.67,17.25
2024-04-28 08:24:33,605.38,18.09
2024-04-28 08:24:34,621.16,18.96
2024-04-28 08:24:35,654.02,19.81
2024-04-28 08:24:36,671.10,20.65
2024-04-28 08:24:37,644.82,21.49
2024-04-28 08:24:38,627.73,22.33
2024-04-28 08:24:39,654.02,23.15
2024-04-28 08:24:40,689.49,23.99
2024-04-28 08:24:41,648.76,24.58
2024-04-28 08:24:42,643.50,24.58
2024-04-28 08:24:43,643.50,24.58
2024-04-28 08:24:44,642.19,24.58
2024-04-28 08:24:45,640.88,24.58
2024-04-28 08:24:46,638.25,24.58
2024-04-28 08:24:47,678.98,24.83
2024-04-28 08:24:48,707.87,25.70
2024-04-28 08:24:49,709.19,26.51
2024-04-28 08:24:50,693.43,27.36
2024-04-28 08:24:51,689.49,28.20
2024-04-28 08:24:52,718.38,29.04
2024-04-28 08:24:53,747.25,29.88
2024-04-28 08:24:54,740.69,30.72
2024-04-28 08:24:55,710.50,31.54
2024-04-28 08:24:56,714.44,32.38
2024-04-28 08:24:57,755.12,33.22
2024-04-28 08:24:58,769.55,34.04
2024-04-28 08:24:59,765.62,34.85
2024-04-28 08:25:00,730.19,35.69
2024-04-28 08:25:01,743.31,36.51
2024-04-28 08:25:02,776.11,37.35
2024-04-28 08:25:03,795.78,38.16
2024-04-28 08:25:04,785.29,38.98
2024-04-28 08:25:05,764.30,39.79
2024-04-28 08:25:06,769.55,40.60
2024-04-28 08:25:07,801.02,41.42
2024-04-28 08:25:08,823.30,42.23
2024-04-28 08:25:09,770.86,42.46
2024-04-28 08:25:10,769.55,42.46
2024-04-28 08:25:11,768.24,42.46
2024-04-28 08:25:12,766.93,42.46
2024-04-28 08:25:13,764.30,42.46
2024-04-28 08:25:14,765.62,42.46
2024-04-28 08:25:15,768.24,42.54
2024-04-28 08:25:16,818.06,43.35
2024-04-28 08:25:17,836.41,44.17
2024-04-28 08:25:18,836.41,44.98
2024-04-28 08:25:19,803.64,45.77
2024-04-28 08:25:20,820.68,46.58
2024-04-28 08:25:21,850.82,47.40
2024-04-28 08:25:22,869.15,48.18
2024-04-28 08:25:23,849.51,49.00
2024-04-28 08:25:24,832.48,49.78
2024-04-28 08:25:25,857.37,50.57
2024-04-28 08:25:26,892.72,51.38
2024-04-28 08:25:27,894.03,52.17
2024-04-28 08:25:28,856.06,52.95
2024-04-28 08:25:29,856.06,53.32
2024-04-28 08:25:30,850.82,53.32
2024-04-28 08:25:31,849.51,53.32
2024-04-28 08:25:32,848.20,53.32
2024-04-28 08:25:33,848.20,53.32
2024-04-28 08:25:34,844.27,53.32
2024-04-28 08:25:35,841.65,53.32
2024-04-28 08:25:36,867.84,53.54
2024-04-28 08:25:37,859.99,54.36
2024-04-28 08:25:38,904.50,55.14
2024-04-28 08:25:39,921.51,55.93
2024-04-28 08:25:40,901.88,56.71
2024-04-28 08:25:41,896.65,57.50
2024-04-28 08:25:42,937.21,58.31
2024-04-28 08:25:43,959.44,59.10
2024-04-28 08:25:44,920.20,59.89
2024-04-28 08:25:45,920.20,60.67
2024-04-28 08:25:46,965.98,61.46
