time,3077（YDC-4000kN）力值曲线,3077（YDC-4000kN）位移曲线
2024-10-13 12:35:01,453.79,-0.91
2024-10-13 12:35:02,458.62,-0.53
2024-10-13 12:35:03,463.46,-0.15
2024-10-13 12:35:04,468.29,0.24
2024-10-13 12:35:05,468.29,0.62
2024-10-13 12:35:06,475.55,1.00
2024-10-13 12:35:07,482.81,1.37
2024-10-13 12:35:08,485.23,1.75
2024-10-13 12:35:09,490.08,2.13
2024-10-13 12:35:10,494.93,2.50
2024-10-13 12:35:11,494.93,2.88
2024-10-13 12:35:12,497.35,3.26
2024-10-13 12:35:13,494.93,3.63
2024-10-13 12:35:14,507.06,4.01
2024-10-13 12:35:15,511.92,4.38
2024-10-13 12:35:16,502.21,4.76
2024-10-13 12:35:17,516.78,5.15
2024-10-13 12:35:18,514.35,5.51
2024-10-13 12:35:19,519.21,5.90
2024-10-13 12:35:20,524.08,6.26
2024-10-13 12:35:21,526.51,6.65
2024-10-13 12:35:22,536.25,7.01
2024-10-13 12:35:23,531.38,7.38
2024-10-13 12:35:24,538.69,7.76
2024-10-13 12:35:25,538.69,8.13
2024-10-13 12:35:26,538.69,8.51
2024-10-13 12:35:27,541.12,8.88
2024-10-13 12:35:28,546.00,9.25
2024-10-13 12:35:29,550.88,9.63
2024-10-13 12:35:30,553.32,10.00
2024-10-13 12:35:31,553.32,10.37
2024-10-13 12:35:32,565.53,10.73
2024-10-13 12:35:33,560.64,11.12
2024-10-13 12:35:34,563.09,11.48
2024-10-13 12:35:35,567.97,11.85
2024-10-13 12:35:36,570.42,12.22
2024-10-13 12:35:37,575.31,12.60
2024-10-13 12:35:38,577.76,12.97
2024-10-13 12:35:39,582.65,13.34
2024-10-13 12:35:40,585.10,13.71
2024-10-13 12:35:41,585.10,14.07
2024-10-13 12:35:42,594.90,14.44
2024-10-13 12:35:43,594.90,14.81
2024-10-13 12:35:44,599.81,15.19
2024-10-13 12:35:45,602.26,15.56
2024-10-13 12:35:46,604.72,15.93
2024-10-13 12:35:47,607.17,16.29
2024-10-13 12:35:48,594.90,16.55
2024-10-13 12:35:49,612.08,16.92
2024-10-13 12:35:50,614.54,17.29
2024-10-13 12:35:51,619.45,17.65
2024-10-13 12:35:52,616.99,18.02
2024-10-13 12:35:53,626.83,18.39
2024-10-13 12:35:54,546.00,18.70
2024-10-13 12:35:55,580.20,18.76
2024-10-13 12:35:56,624.37,19.14
2024-10-13 12:35:57,634.21,19.51
2024-10-13 12:35:58,629.29,19.87
2024-10-13 12:35:59,639.14,20.24
2024-10-13 12:36:00,641.60,20.61
2024-10-13 12:36:01,644.07,20.96
2024-10-13 12:36:02,649.00,21.33
2024-10-13 12:36:03,649.00,21.70
2024-10-13 12:36:04,656.40,22.07
2024-10-13 12:36:05,658.87,22.44
2024-10-13 12:36:06,661.34,22.80
2024-10-13 12:36:07,661.34,23.17
2024-10-13 12:36:08,668.75,23.52
2024-10-13 12:36:09,668.75,23.89
2024-10-13 12:36:10,666.28,24.26
2024-10-13 12:36:11,676.16,24.63
2024-10-13 12:36:12,673.69,24.98
2024-10-13 12:36:13,585.10,25.22
2024-10-13 12:36:14,656.40,25.27
2024-10-13 12:36:15,668.75,25.62
2024-10-13 12:36:16,681.11,25.99
2024-10-13 12:36:17,688.54,26.35
2024-10-13 12:36:18,688.54,26.71
2024-10-13 12:36:19,668.75,27.06
2024-10-13 12:36:20,695.97,27.42
2024-10-13 12:36:21,693.49,27.76
2024-10-13 12:36:22,636.68,28.04
2024-10-13 12:36:23,698.45,28.38
2024-10-13 12:36:24,668.75,28.63
2024-10-13 12:36:25,631.75,28.92
2024-10-13 12:36:26,703.41,29.17
2024-10-13 12:36:27,661.34,29.43
2024-10-13 12:36:28,629.29,29.65
2024-10-13 12:36:29,658.87,29.88
2024-10-13 12:36:30,708.37,30.08
2024-10-13 12:36:31,621.91,30.29
2024-10-13 12:36:32,705.89,30.50
2024-10-13 12:36:33,708.37,30.70
2024-10-13 12:36:34,718.30,30.90
2024-10-13 12:36:35,641.60,31.08
2024-10-13 12:36:36,629.29,31.28
2024-10-13 12:36:37,708.37,31.48
2024-10-13 12:36:38,691.01,31.65
2024-10-13 12:36:39,646.53,31.84
2024-10-13 12:36:40,636.68,32.04
2024-10-13 12:36:41,725.75,32.21
2024-10-13 12:36:42,649.00,32.38
2024-10-13 12:36:43,636.68,32.58
2024-10-13 12:36:44,718.30,32.75
2024-10-13 12:36:45,743.17,32.92
2024-10-13 12:36:46,646.53,33.09
2024-10-13 12:36:47,668.75,33.27
2024-10-13 12:36:48,740.68,33.43
2024-10-13 12:36:49,658.87,33.57
2024-10-13 12:36:50,639.14,33.75
2024-10-13 12:36:51,738.19,33.91
2024-10-13 12:36:52,678.64,34.08
2024-10-13 12:36:53,636.68,34.25
2024-10-13 12:36:54,730.73,34.42
2024-10-13 12:36:55,725.75,34.58
2024-10-13 12:36:56,658.87,34.73
2024-10-13 12:36:57,656.40,34.90
2024-10-13 12:36:58,738.19,35.06
2024-10-13 12:36:59,698.45,35.21
