time,3054（200kN）力值曲线,3054（200kN）位移曲线
2024-03-31 13:48:37,521.33,0.95
2024-03-31 13:48:38,606.09,2.15
2024-03-31 13:48:39,680.30,3.33
2024-03-31 13:48:40,651.40,3.77
2024-03-31 13:48:41,652.77,3.77
2024-03-31 13:48:42,678.93,4.10
2024-03-31 13:48:43,673.42,4.10
2024-03-31 13:48:44,687.20,4.34
2024-03-31 13:48:45,680.30,4.34
2024-03-31 13:48:46,680.30,4.34
2024-03-31 13:48:47,681.68,4.34
2024-03-31 13:48:48,680.30,4.34
2024-03-31 13:48:49,676.17,4.34
2024-03-31 13:48:50,674.79,4.34
2024-03-31 13:48:51,674.79,4.34
2024-03-31 13:48:52,674.79,4.34
2024-03-31 13:48:53,680.30,4.34
2024-03-31 13:48:54,678.93,4.34
2024-03-31 13:48:55,677.55,4.34
2024-03-31 13:48:56,677.55,4.34
2024-03-31 13:48:57,672.04,4.34
2024-03-31 13:48:58,674.79,4.34
2024-03-31 13:48:59,670.66,4.34
2024-03-31 13:49:00,670.66,4.34
2024-03-31 13:49:01,670.66,4.34
2024-03-31 13:49:02,672.04,4.34
2024-03-31 13:49:03,669.29,4.34
2024-03-31 13:49:04,667.91,4.34
2024-03-31 13:49:05,670.66,4.34
2024-03-31 13:49:06,665.16,4.34
2024-03-31 13:49:07,670.66,4.34
2024-03-31 13:49:08,667.91,4.34
2024-03-31 13:49:09,669.29,4.34
2024-03-31 13:49:10,745.20,5.00
2024-03-31 13:49:11,749.35,6.20
2024-03-31 13:49:12,774.29,7.38
2024-03-31 13:49:13,788.16,8.56
2024-03-31 13:49:14,799.26,9.76
2024-03-31 13:49:15,818.72,10.94
2024-03-31 13:49:16,829.84,12.12
2024-03-31 13:49:17,845.16,13.29
2024-03-31 13:49:18,852.12,14.47
2024-03-31 13:49:19,868.85,15.65
2024-03-31 13:49:20,874.43,16.82
2024-03-31 13:49:21,893.98,18.00
2024-03-31 13:49:22,906.56,19.18
2024-03-31 13:49:23,919.15,20.35
2024-03-31 13:49:24,927.55,21.50
2024-03-31 13:49:25,942.96,22.68
2024-03-31 13:49:26,952.77,23.86
2024-03-31 13:49:27,965.40,25.01
2024-03-31 13:49:28,975.23,26.18
2024-03-31 13:49:29,987.88,27.33
2024-03-31 13:49:30,996.31,28.48
2024-03-31 13:49:31,1011.79,29.66
2024-03-31 13:49:32,962.60,30.10
2024-03-31 13:49:33,965.40,30.10
2024-03-31 13:49:34,1027.28,30.78
2024-03-31 13:49:35,1052.67,31.96
2024-03-31 13:49:36,1062.55,33.11
2024-03-31 13:49:37,1061.14,34.26
2024-03-31 13:49:38,1069.62,35.41
2024-03-31 13:49:39,1083.75,36.56
2024-03-31 13:49:40,1095.07,37.71
2024-03-31 13:49:41,1107.81,38.85
2024-03-31 13:49:42,1117.73,40.00
2024-03-31 13:49:43,1136.16,41.15
2024-03-31 13:49:44,1140.42,42.30
2024-03-31 13:49:45,1148.94,43.43
2024-03-31 13:49:46,1168.83,44.57
2024-03-31 13:49:47,1180.21,45.72
2024-03-31 13:49:48,1188.75,46.85
2024-03-31 13:49:49,1204.42,47.97
2024-03-31 13:49:50,1214.39,49.12
2024-03-31 13:49:51,1215.82,50.24
2024-03-31 13:49:52,1237.22,51.36
2024-03-31 13:49:53,1247.22,52.48
2024-03-31 13:49:54,1202.99,53.11
2024-03-31 13:49:55,1198.72,53.11
2024-03-31 13:49:56,1268.67,53.58
2024-03-31 13:49:57,1281.55,54.70
2024-03-31 13:49:58,1298.74,55.82
2024-03-31 13:49:59,1305.90,56.95
2024-03-31 13:50:00,1314.51,58.07
2024-03-31 13:50:01,1321.68,59.19
2024-03-31 13:50:02,1343.23,60.31
2024-03-31 13:50:03,1351.85,61.43
2024-03-31 13:50:04,1361.92,62.56
2024-03-31 13:50:05,1367.68,63.65
2024-03-31 13:50:06,1382.08,64.77
2024-03-31 13:50:07,1395.05,65.90
2024-03-31 13:50:08,1402.26,66.99
2024-03-31 13:50:09,1418.13,68.08
2024-03-31 13:50:10,1432.57,69.21
2024-03-31 13:50:11,1374.88,69.75
2024-03-31 13:50:12,1376.31,69.75
2024-03-31 13:50:13,1382.08,70.16
2024-03-31 13:50:14,1387.84,70.16
2024-03-31 13:50:15,1435.46,70.25
2024-03-31 13:50:16,1386.40,70.47
2024-03-31 13:50:17,1390.72,70.47
2024-03-31 13:50:18,1397.93,70.77
2024-03-31 13:50:19,1402.26,70.77
2024-03-31 13:50:20,1413.80,70.99
2024-03-31 13:50:21,1400.81,70.99
2024-03-31 13:50:22,1419.57,71.18
2024-03-31 13:50:23,1418.13,71.18
2024-03-31 13:50:24,1461.50,71.23
2024-03-31 13:50:25,1416.69,71.37
2024-03-31 13:50:26,1413.80,71.37
2024-03-31 13:50:27,1429.68,71.56
2024-03-31 13:50:28,1429.68,71.56
2024-03-31 13:50:29,1428.24,71.56
2024-03-31 13:50:30,1418.13,71.56
2024-03-31 13:50:31,1419.57,71.56
2024-03-31 13:50:32,1436.91,71.70
2024-03-31 13:50:33,1434.02,71.70
2024-03-31 13:50:34,1432.57,71.70
2024-03-31 13:50:35,1431.13,71.70
2024-03-31 13:50:36,1419.57,71.70
2024-03-31 13:50:37,1429.68,71.70
2024-03-31 13:50:38,1425.35,71.70
2024-03-31 13:50:39,1429.68,71.70
2024-03-31 13:50:40,1429.68,71.70
2024-03-31 13:50:41,1425.35,71.70
2024-03-31 13:50:42,1425.35,71.70
2024-03-31 13:50:43,1429.68,71.70
2024-03-31 13:50:44,1483.22,71.78
2024-03-31 13:50:45,1439.80,71.86
