time,3073（YDC1200-200型kN）力值曲线,3073（YDC1200-200型kN）位移曲线
2024-08-31 09:47:49,261.04,0.99
2024-08-31 09:47:50,290.46,2.10
2024-08-31 09:47:51,295.53,3.21
2024-08-31 09:47:52,307.20,4.31
2024-08-31 09:47:53,345.67,5.40
2024-08-31 09:47:54,369.03,6.43
2024-08-31 09:47:55,368.27,7.40
2024-08-31 09:47:56,411.22,8.42
2024-08-31 09:47:57,427.59,9.37
2024-08-31 09:47:58,427.59,10.32
2024-08-31 09:47:59,467.13,11.27
2024-08-31 09:48:00,490.43,12.10
2024-08-31 09:48:01,488.82,13.03
2024-08-31 09:48:02,526.30,13.90
2024-08-31 09:48:03,538.68,14.67
2024-08-31 09:48:04,542.82,15.53
2024-08-31 09:48:05,584.66,16.28
2024-08-31 09:48:06,577.07,16.94
2024-08-31 09:48:07,601.62,17.68
2024-08-31 09:48:08,629.03,18.23
2024-08-31 09:48:09,617.86,18.67
2024-08-31 09:48:10,628.17,18.87
2024-08-31 09:48:11,622.15,18.87
2024-08-31 09:48:12,625.59,18.87
2024-08-31 09:48:13,624.73,18.87
2024-08-31 09:48:14,623.01,18.87
2024-08-31 09:48:15,621.29,18.87
2024-08-31 09:48:16,622.15,18.87
2024-08-31 09:48:17,617.86,18.87
2024-08-31 09:48:18,620.43,18.87
2024-08-31 09:48:19,622.15,18.87
2024-08-31 09:48:20,614.43,18.87
2024-08-31 09:48:21,617.86,18.87
2024-08-31 09:48:22,612.72,18.87
2024-08-31 09:48:23,614.43,18.87
2024-08-31 09:48:24,611.86,18.87
2024-08-31 09:48:25,616.14,18.87
2024-08-31 09:48:26,614.43,18.87
2024-08-31 09:48:27,611.01,18.87
2024-08-31 09:48:28,611.86,18.87
2024-08-31 09:48:29,611.86,18.87
2024-08-31 09:48:30,611.86,18.87
2024-08-31 09:48:31,615.29,18.87
2024-08-31 09:48:32,610.15,18.87
2024-08-31 09:48:33,614.43,18.87
2024-08-31 09:48:34,608.44,18.87
2024-08-31 09:48:35,612.72,18.87
2024-08-31 09:48:36,613.57,18.87
2024-08-31 09:48:37,611.01,18.87
2024-08-31 09:48:38,614.43,18.87
2024-08-31 09:48:39,613.57,18.87
2024-08-31 09:48:40,611.86,18.87
2024-08-31 09:48:41,611.86,18.87
2024-08-31 09:48:42,611.86,18.87
2024-08-31 09:48:43,611.86,18.87
2024-08-31 09:48:44,612.72,18.87
2024-08-31 09:48:45,612.72,18.87
2024-08-31 09:48:46,606.74,18.87
2024-08-31 09:48:47,610.15,18.87
2024-08-31 09:48:48,611.86,18.87
2024-08-31 09:48:49,608.44,18.87
2024-08-31 09:48:50,611.01,18.87
2024-08-31 09:48:51,611.01,18.87
2024-08-31 09:48:52,608.44,18.87
2024-08-31 09:48:53,607.59,18.87
2024-08-31 09:48:54,611.01,18.87
2024-08-31 09:48:55,611.01,18.87
2024-08-31 09:48:56,607.59,18.87
2024-08-31 09:48:57,609.30,18.87
2024-08-31 09:48:58,607.59,18.87
2024-08-31 09:48:59,609.30,18.87
2024-08-31 09:49:00,605.88,18.87
2024-08-31 09:49:01,611.01,18.87
2024-08-31 09:49:02,610.15,18.87
2024-08-31 09:49:03,610.15,18.87
2024-08-31 09:49:04,609.30,18.87
2024-08-31 09:49:05,609.30,18.87
2024-08-31 09:49:06,609.30,18.87
2024-08-31 09:49:07,607.59,18.87
2024-08-31 09:49:08,607.59,18.87
2024-08-31 09:49:09,608.44,18.87
2024-08-31 09:49:10,602.47,18.87
2024-08-31 09:49:11,608.44,18.87
2024-08-31 09:49:12,606.74,18.87
2024-08-31 09:49:13,608.44,18.87
2024-08-31 09:49:14,528.77,17.83
2024-08-31 09:49:15,294.08,12.15
2024-08-31 09:49:16,28.34,3.10
2024-08-31 09:49:17,25.36,3.10
2024-08-31 09:49:18,24.76,3.10
2024-08-31 09:49:19,23.58,3.10
2024-08-31 09:49:20,22.39,3.10
2024-08-31 09:49:21,22.39,3.10
2024-08-31 09:49:22,22.39,3.10
2024-08-31 09:49:23,20.61,3.10
2024-08-31 09:49:24,22.39,3.10
2024-08-31 09:49:25,21.20,3.10
