time,3074（YDC-1000型kN）力值曲线,3074（YDC-1000型kN）位移曲线
2024-08-30 22:06:10,244.65,1.66
2024-08-30 22:06:11,276.84,3.38
2024-08-30 22:06:12,311.89,5.02
2024-08-30 22:06:13,346.93,6.70
2024-08-30 22:06:14,385.76,8.31
2024-08-30 22:06:15,421.51,9.90
2024-08-30 22:06:16,458.73,11.47
2024-08-30 22:06:17,497.47,12.98
2024-08-30 22:06:18,535.30,14.51
2024-08-30 22:06:19,574.66,15.98
2024-08-30 22:06:20,592.47,17.24
2024-08-30 22:06:21,587.37,17.24
2024-08-30 22:06:22,583.97,17.24
2024-08-30 22:06:23,578.89,17.24
2024-08-30 22:06:24,581.43,17.24
2024-08-30 22:06:25,578.04,17.24
2024-08-30 22:06:26,578.04,17.24
2024-08-30 22:06:27,576.35,17.24
2024-08-30 22:06:28,576.35,17.24
2024-08-30 22:06:29,569.60,17.24
2024-08-30 22:06:30,571.28,17.24
2024-08-30 22:06:31,574.66,17.24
2024-08-30 22:06:32,573.81,17.24
2024-08-30 22:06:33,568.75,17.24
2024-08-30 22:06:34,569.60,17.24
2024-08-30 22:06:35,568.75,17.24
2024-08-30 22:06:36,567.91,17.24
2024-08-30 22:06:37,570.44,17.24
2024-08-30 22:06:38,569.60,17.24
2024-08-30 22:06:39,569.60,17.24
2024-08-30 22:06:40,568.75,17.24
2024-08-30 22:06:41,568.75,17.24
2024-08-30 22:06:42,568.75,17.24
2024-08-30 22:06:43,564.54,17.24
2024-08-30 22:06:44,566.23,17.24
2024-08-30 22:06:45,567.91,17.24
2024-08-30 22:06:46,563.70,17.24
2024-08-30 22:06:47,564.54,17.24
2024-08-30 22:06:48,563.70,17.24
2024-08-30 22:06:49,565.38,17.24
2024-08-30 22:06:50,562.02,17.24
2024-08-30 22:06:51,562.02,17.24
2024-08-30 22:06:52,565.38,17.24
2024-08-30 22:06:53,559.50,17.24
2024-08-30 22:06:54,560.34,17.24
2024-08-30 22:06:55,563.70,17.24
2024-08-30 22:06:56,563.70,17.24
2024-08-30 22:06:57,559.50,17.24
2024-08-30 22:06:58,563.70,17.24
2024-08-30 22:06:59,562.86,17.24
2024-08-30 22:07:00,562.02,17.24
2024-08-30 22:07:01,559.50,17.24
2024-08-30 22:07:02,562.86,17.24
2024-08-30 22:07:03,562.02,17.24
2024-08-30 22:07:04,557.83,17.24
2024-08-30 22:07:05,561.18,17.24
2024-08-30 22:07:06,562.02,17.24
2024-08-30 22:07:07,561.18,17.24
2024-08-30 22:07:08,562.02,17.24
2024-08-30 22:07:09,562.02,17.24
2024-08-30 22:07:10,561.18,17.24
2024-08-30 22:07:11,562.02,17.24
2024-08-30 22:07:12,562.02,17.24
2024-08-30 22:07:13,560.34,17.24
2024-08-30 22:07:14,562.02,17.24
2024-08-30 22:07:15,561.18,17.24
2024-08-30 22:07:16,561.18,17.24
2024-08-30 22:07:17,559.50,17.24
2024-08-30 22:07:18,559.50,17.24
2024-08-30 22:07:19,559.50,17.24
2024-08-30 22:07:20,560.34,17.24
2024-08-30 22:07:21,560.34,17.24
2024-08-30 22:07:22,557.83,17.24
2024-08-30 22:07:23,558.66,17.24
2024-08-30 22:07:24,560.34,17.24
2024-08-30 22:07:25,560.34,17.24
2024-08-30 22:07:26,560.34,17.24
2024-08-30 22:07:27,558.66,17.24
2024-08-30 22:07:28,559.50,17.24
2024-08-30 22:07:29,556.99,17.24
2024-08-30 22:07:30,556.15,17.24
2024-08-30 22:07:31,560.34,17.24
2024-08-30 22:07:32,558.66,17.24
2024-08-30 22:07:33,559.50,17.24
2024-08-30 22:07:34,558.66,17.24
2024-08-30 22:07:35,556.99,17.24
2024-08-30 22:07:36,558.66,17.24
2024-08-30 22:07:37,558.66,17.24
2024-08-30 22:07:38,553.64,17.24
2024-08-30 22:07:39,558.66,17.24
2024-08-30 22:07:40,558.66,17.24
2024-08-30 22:07:41,557.83,17.24
2024-08-30 22:07:42,555.31,17.24
2024-08-30 22:07:43,557.83,17.24
2024-08-30 22:07:44,558.66,17.24
2024-08-30 22:07:45,558.66,17.24
2024-08-30 22:07:46,556.15,17.24
2024-08-30 22:07:47,554.47,17.24
2024-08-30 22:07:48,551.96,17.24
2024-08-30 22:07:49,558.66,17.24
2024-08-30 22:07:50,554.47,17.24
2024-08-30 22:07:51,558.66,17.24
2024-08-30 22:07:52,556.99,17.24
2024-08-30 22:07:53,557.83,17.24
2024-08-30 22:07:54,557.83,17.24
2024-08-30 22:07:55,554.47,17.24
2024-08-30 22:07:56,555.31,17.24
2024-08-30 22:07:57,557.83,17.24
2024-08-30 22:07:58,556.15,17.24
2024-08-30 22:07:59,556.99,17.24
2024-08-30 22:08:00,554.47,17.24
2024-08-30 22:08:01,556.15,17.24
2024-08-30 22:08:02,553.64,17.24
2024-08-30 22:08:03,556.15,17.24
2024-08-30 22:08:04,551.96,17.24
2024-08-30 22:08:05,556.99,17.24
2024-08-30 22:08:06,555.31,17.24
2024-08-30 22:08:07,556.15,17.24
2024-08-30 22:08:08,552.80,17.24
2024-08-30 22:08:09,551.96,17.24
2024-08-30 22:08:10,554.47,17.24
2024-08-30 22:08:11,554.47,17.24
2024-08-30 22:08:12,553.64,17.24
2024-08-30 22:08:13,556.15,17.24
2024-08-30 22:08:14,556.15,17.24
2024-08-30 22:08:15,555.31,17.24
2024-08-30 22:08:16,552.80,17.24
2024-08-30 22:08:17,555.31,17.24
2024-08-30 22:08:18,556.15,17.24
2024-08-30 22:08:19,555.31,17.24
2024-08-30 22:08:20,551.13,17.24
2024-08-30 22:08:21,555.31,17.24
2024-08-30 22:08:22,555.31,17.24
2024-08-30 22:08:23,555.31,17.24
2024-08-30 22:08:24,555.31,17.24
2024-08-30 22:08:25,555.31,17.24
2024-08-30 22:08:26,554.47,17.24
2024-08-30 22:08:27,554.47,17.24
2024-08-30 22:08:28,555.31,17.24
2024-08-30 22:08:29,550.29,17.24
2024-08-30 22:08:30,554.47,17.24
2024-08-30 22:08:31,555.31,17.24
2024-08-30 22:08:32,554.47,17.24
2024-08-30 22:08:33,551.96,17.24
2024-08-30 22:08:34,555.31,17.24
2024-08-30 22:08:35,554.47,17.24
2024-08-30 22:08:36,550.29,17.24
2024-08-30 22:08:37,554.47,17.24
2024-08-30 22:08:38,555.31,17.24
2024-08-30 22:08:39,555.31,17.24
2024-08-30 22:08:40,554.47,17.24
2024-08-30 22:08:41,555.31,17.24
2024-08-30 22:08:42,554.47,17.24
2024-08-30 22:08:43,551.96,17.24
2024-08-30 22:08:44,552.80,17.24
2024-08-30 22:08:45,554.47,17.24
2024-08-30 22:08:46,555.31,17.24
2024-08-30 22:08:47,552.80,17.24
2024-08-30 22:08:48,554.47,17.24
2024-08-30 22:08:49,555.31,17.24
2024-08-30 22:08:50,553.64,17.24
2024-08-30 22:08:51,551.96,17.24
2024-08-30 22:08:52,553.64,17.24
2024-08-30 22:08:53,554.47,17.24
2024-08-30 22:08:54,550.29,17.24
2024-08-30 22:08:55,554.47,17.24
2024-08-30 22:08:56,554.47,17.24
2024-08-30 22:08:57,549.46,17.24
2024-08-30 22:08:58,553.64,17.24
2024-08-30 22:08:59,549.46,17.24
2024-08-30 22:09:00,550.29,17.24
2024-08-30 22:09:01,555.31,17.24
