time,3071（YDC-1000kN）力值曲线,3071（YDC-1000kN）位移曲线
2024-08-31 10:10:35,229.99,1.71
2024-08-31 10:10:36,269.70,3.49
2024-08-31 10:10:37,310.46,5.19
2024-08-31 10:10:38,352.26,6.86
2024-08-31 10:10:39,394.34,8.42
2024-08-31 10:10:40,436.66,9.90
2024-08-31 10:10:41,475.98,11.37
2024-08-31 10:10:42,522.59,12.77
2024-08-31 10:10:43,564.47,14.11
2024-08-31 10:10:44,605.50,15.43
2024-08-31 10:10:45,647.31,16.69
2024-08-31 10:10:46,627.59,16.79
2024-08-31 10:10:47,625.03,16.79
2024-08-31 10:10:48,624.18,16.79
2024-08-31 10:10:49,620.77,16.79
2024-08-31 10:10:50,621.62,16.79
2024-08-31 10:10:51,620.77,16.79
2024-08-31 10:10:52,620.77,16.79
2024-08-31 10:10:53,620.77,16.79
2024-08-31 10:10:54,615.67,16.79
2024-08-31 10:10:55,620.77,16.79
2024-08-31 10:10:56,618.22,16.79
2024-08-31 10:10:57,619.92,16.79
2024-08-31 10:10:58,614.82,16.79
2024-08-31 10:10:59,617.37,16.79
2024-08-31 10:11:00,613.97,16.79
2024-08-31 10:11:01,617.37,16.79
2024-08-31 10:11:02,615.67,16.79
2024-08-31 10:11:03,613.12,16.79
2024-08-31 10:11:04,613.12,16.79
2024-08-31 10:11:05,613.12,16.79
2024-08-31 10:11:06,617.37,16.79
2024-08-31 10:11:07,613.12,16.79
2024-08-31 10:11:08,614.82,16.79
2024-08-31 10:11:09,617.37,16.79
2024-08-31 10:11:10,615.67,16.79
2024-08-31 10:11:11,615.67,16.79
2024-08-31 10:11:12,616.52,16.79
2024-08-31 10:11:13,616.52,16.79
2024-08-31 10:11:14,613.12,16.79
2024-08-31 10:11:15,615.67,16.79
2024-08-31 10:11:16,613.97,16.79
2024-08-31 10:11:17,611.43,16.79
2024-08-31 10:11:18,615.67,16.79
2024-08-31 10:11:19,611.43,16.79
2024-08-31 10:11:20,613.12,16.79
2024-08-31 10:11:21,607.20,16.79
2024-08-31 10:11:22,614.82,16.79
2024-08-31 10:11:23,610.58,16.79
2024-08-31 10:11:24,613.97,16.79
2024-08-31 10:11:25,613.12,16.79
2024-08-31 10:11:26,613.12,16.79
2024-08-31 10:11:27,613.12,16.79
2024-08-31 10:11:28,613.12,16.79
2024-08-31 10:11:29,609.73,16.79
2024-08-31 10:11:30,612.28,16.79
2024-08-31 10:11:31,613.12,16.79
2024-08-31 10:11:32,611.43,16.79
2024-08-31 10:11:33,609.73,16.79
2024-08-31 10:11:34,613.12,16.79
2024-08-31 10:11:35,610.58,16.79
2024-08-31 10:11:36,608.89,16.79
2024-08-31 10:11:37,609.73,16.79
2024-08-31 10:11:38,609.73,16.79
2024-08-31 10:11:39,608.89,16.79
2024-08-31 10:11:40,612.28,16.79
2024-08-31 10:11:41,609.73,16.79
2024-08-31 10:11:42,611.43,16.79
2024-08-31 10:11:43,610.58,16.79
2024-08-31 10:11:44,606.35,16.79
2024-08-31 10:11:45,610.58,16.79
2024-08-31 10:11:46,611.43,16.79
2024-08-31 10:11:47,610.58,16.79
2024-08-31 10:11:48,608.89,16.79
2024-08-31 10:11:49,609.73,16.79
2024-08-31 10:11:50,608.04,16.79
2024-08-31 10:11:51,609.73,16.79
2024-08-31 10:11:52,608.89,16.79
2024-08-31 10:11:53,607.20,16.79
2024-08-31 10:11:54,608.04,16.79
2024-08-31 10:11:55,610.58,16.79
2024-08-31 10:11:56,604.66,16.79
2024-08-31 10:11:57,609.73,16.79
2024-08-31 10:11:58,609.73,16.79
2024-08-31 10:11:59,607.20,16.79
2024-08-31 10:12:00,609.73,16.79
2024-08-31 10:12:01,604.66,16.79
2024-08-31 10:12:02,609.73,16.79
2024-08-31 10:12:03,609.73,16.79
2024-08-31 10:12:04,603.81,16.79
2024-08-31 10:12:05,608.89,16.79
2024-08-31 10:12:06,606.35,16.79
2024-08-31 10:12:07,604.66,16.79
2024-08-31 10:12:08,608.04,16.79
2024-08-31 10:12:09,606.35,16.79
2024-08-31 10:12:10,608.89,16.79
2024-08-31 10:12:11,607.20,16.79
2024-08-31 10:12:12,603.81,16.79
2024-08-31 10:12:13,605.50,16.79
2024-08-31 10:12:14,605.50,16.79
2024-08-31 10:12:15,606.35,16.79
2024-08-31 10:12:16,602.97,16.79
2024-08-31 10:12:17,606.35,16.79
2024-08-31 10:12:18,606.35,16.79
2024-08-31 10:12:19,601.28,16.79
2024-08-31 10:12:20,602.97,16.79
2024-08-31 10:12:21,605.50,16.79
2024-08-31 10:12:22,606.35,16.79
2024-08-31 10:12:23,606.35,16.79
2024-08-31 10:12:24,601.28,16.79
2024-08-31 10:12:25,606.35,16.79
2024-08-31 10:12:26,606.35,16.79
2024-08-31 10:12:27,604.66,16.79
2024-08-31 10:12:28,602.97,16.79
2024-08-31 10:12:29,605.50,16.79
2024-08-31 10:12:30,603.81,16.79
2024-08-31 10:12:31,603.81,16.79
2024-08-31 10:12:32,602.97,16.79
2024-08-31 10:12:33,606.35,16.79
2024-08-31 10:12:34,601.28,16.79
2024-08-31 10:12:35,601.28,16.79
2024-08-31 10:12:36,602.13,16.79
2024-08-31 10:12:37,605.50,16.79
2024-08-31 10:12:38,604.66,16.79
2024-08-31 10:12:39,602.97,16.79
2024-08-31 10:12:40,602.13,16.79
2024-08-31 10:12:41,605.50,16.79
2024-08-31 10:12:42,604.66,16.79
2024-08-31 10:12:43,603.81,16.79
2024-08-31 10:12:44,604.66,16.79
2024-08-31 10:12:45,604.66,16.79
2024-08-31 10:12:46,605.50,16.79
2024-08-31 10:12:47,599.60,16.79
2024-08-31 10:12:48,605.50,16.79
2024-08-31 10:12:49,582.80,16.74
2024-08-31 10:12:50,412.69,14.56
2024-08-31 10:12:51,170.08,10.59
2024-08-31 10:12:52,41.20,7.08
2024-08-31 10:12:53,40.61,7.08
2024-08-31 10:12:54,40.61,7.08
2024-08-31 10:12:55,41.20,7.08
2024-08-31 10:12:56,41.20,7.08
2024-08-31 10:12:57,40.61,7.08
2024-08-31 10:12:58,40.02,7.08
2024-08-31 10:12:59,40.61,7.08
2024-08-31 10:13:00,40.02,7.08
2024-08-31 10:13:01,40.02,7.08
