time,3050（500kN）力值曲线,3050（500kN）位移曲线
2023-12-25 18:10:03,760.68,-0.73
2023-12-25 18:10:04,757.39,-0.28
2023-12-25 18:10:05,763.96,0.17
2023-12-25 18:10:06,773.80,0.63
2023-12-25 18:10:07,777.08,1.08
2023-12-25 18:10:08,780.36,1.52
2023-12-25 18:10:09,780.36,1.98
2023-12-25 18:10:10,800.06,2.43
2023-12-25 18:10:11,803.34,2.88
2023-12-25 18:10:12,803.34,3.34
2023-12-25 18:10:13,806.62,3.78
2023-12-25 18:10:14,816.48,4.23
2023-12-25 18:10:15,823.05,4.69
2023-12-25 18:10:16,832.90,5.14
2023-12-25 18:10:17,832.90,5.59
2023-12-25 18:10:18,832.90,6.04
2023-12-25 18:10:19,842.76,6.49
2023-12-25 18:10:20,839.47,6.94
2023-12-25 18:10:21,862.48,7.40
2023-12-25 18:10:22,859.20,7.84
2023-12-25 18:10:23,859.20,8.29
2023-12-25 18:10:24,859.20,8.74
2023-12-25 18:10:25,865.77,9.20
2023-12-25 18:10:26,869.06,9.65
2023-12-25 18:10:27,882.22,10.09
2023-12-25 18:10:28,882.22,10.54
2023-12-25 18:10:29,878.93,11.00
2023-12-25 18:10:30,882.22,11.45
2023-12-25 18:10:31,895.38,11.89
2023-12-25 18:10:32,895.38,12.34
2023-12-25 18:10:33,905.25,12.79
2023-12-25 18:10:34,898.67,13.25
2023-12-25 18:10:35,915.13,13.70
2023-12-25 18:10:36,911.83,14.14
2023-12-25 18:10:37,911.83,14.59
2023-12-25 18:10:38,915.13,15.04
2023-12-25 18:10:39,925.00,15.49
2023-12-25 18:10:40,941.47,15.93
2023-12-25 18:10:41,948.06,16.38
2023-12-25 18:10:42,951.36,16.84
2023-12-25 18:10:43,951.36,17.29
2023-12-25 18:10:44,964.54,17.73
2023-12-25 18:10:45,964.54,18.18
2023-12-25 18:10:46,971.13,18.63
2023-12-25 18:10:47,744.28,18.70
2023-12-25 18:10:48,721.33,18.70
2023-12-25 18:10:49,954.65,19.07
2023-12-25 18:10:50,773.80,19.45
2023-12-25 18:10:51,747.56,19.45
2023-12-25 18:10:52,948.06,19.50
2023-12-25 18:10:53,977.72,19.95
2023-12-25 18:10:54,750.84,19.97
2023-12-25 18:10:55,744.28,19.97
2023-12-25 18:10:56,773.80,20.37
2023-12-25 18:10:57,754.11,20.37
2023-12-25 18:10:58,793.49,20.37
2023-12-25 18:10:59,773.80,20.71
2023-12-25 18:11:00,760.68,20.71
2023-12-25 18:11:01,974.43,20.82
2023-12-25 18:11:02,773.80,21.02
2023-12-25 18:11:03,760.68,21.02
2023-12-25 18:11:04,987.62,21.25
2023-12-25 18:11:05,770.52,21.29
2023-12-25 18:11:06,754.11,21.29
2023-12-25 18:11:07,783.64,21.53
2023-12-25 18:11:08,770.52,21.53
2023-12-25 18:11:09,987.62,21.68
2023-12-25 18:11:10,767.24,21.75
2023-12-25 18:11:11,767.24,21.75
2023-12-25 18:11:12,783.64,21.97
2023-12-25 18:11:13,773.80,21.97
2023-12-25 18:11:14,990.91,22.11
2023-12-25 18:11:15,780.36,22.18
2023-12-25 18:11:16,777.08,22.18
2023-12-25 18:11:17,786.93,22.40
2023-12-25 18:11:18,783.64,22.40
2023-12-25 18:11:19,1007.41,22.53
2023-12-25 18:11:20,786.93,22.61
2023-12-25 18:11:21,783.64,22.61
2023-12-25 18:11:22,793.49,22.83
2023-12-25 18:11:23,786.93,22.83
2023-12-25 18:11:24,1010.71,22.96
2023-12-25 18:11:25,790.21,23.00
2023-12-25 18:11:26,786.93,23.00
2023-12-25 18:11:27,796.77,23.17
2023-12-25 18:11:28,786.93,23.17
2023-12-25 18:11:29,803.34,23.34
2023-12-25 18:11:30,786.93,23.34
2023-12-25 18:11:31,1007.41,23.38
2023-12-25 18:11:32,800.06,23.50
2023-12-25 18:11:33,793.49,23.50
2023-12-25 18:11:34,1033.81,23.81
2023-12-25 18:11:35,1047.02,24.26
2023-12-25 18:11:36,1060.23,24.71
2023-12-25 18:11:37,1073.44,25.16
2023-12-25 18:11:38,1083.36,25.61
2023-12-25 18:11:39,1076.75,26.04
2023-12-25 18:11:40,1080.05,26.49
2023-12-25 18:11:41,1089.97,26.94
2023-12-25 18:11:42,1089.97,27.39
2023-12-25 18:11:43,1103.19,27.83
2023-12-25 18:11:44,1103.19,28.27
2023-12-25 18:11:45,1103.19,28.72
2023-12-25 18:11:46,1103.19,29.17
2023-12-25 18:11:47,1099.89,29.61
2023-12-25 18:11:48,1113.11,30.06
2023-12-25 18:11:49,1123.04,30.50
2023-12-25 18:11:50,1126.35,30.95
2023-12-25 18:11:51,1129.66,31.39
2023-12-25 18:11:52,1119.73,31.84
2023-12-25 18:11:53,1129.66,32.28
2023-12-25 18:11:54,1136.27,32.73
2023-12-25 18:11:55,1142.89,33.17
2023-12-25 18:11:56,1136.27,33.61
2023-12-25 18:11:57,1146.20,34.06
2023-12-25 18:11:58,1149.51,34.51
2023-12-25 18:11:59,1152.82,34.94
2023-12-25 18:12:00,1146.20,35.39
2023-12-25 18:12:01,1156.13,35.84
2023-12-25 18:12:02,1159.44,36.28
2023-12-25 18:12:03,1172.69,36.72
2023-12-25 18:12:04,1176.00,37.17
2023-12-25 18:12:05,1172.69,37.62
2023-12-25 18:12:06,1182.63,38.06
2023-12-25 18:12:07,1192.57,38.50
2023-12-25 18:12:08,1185.94,38.95
2023-12-25 18:12:09,1192.57,39.39
2023-12-25 18:12:10,1195.88,39.84
2023-12-25 18:12:11,1189.25,40.29
2023-12-25 18:12:12,1199.19,40.72
2023-12-25 18:12:13,1202.51,41.17
2023-12-25 18:12:14,1212.45,41.61
2023-12-25 18:12:15,1202.51,42.05
2023-12-25 18:12:16,1215.77,42.50
2023-12-25 18:12:17,1222.40,42.94
2023-12-25 18:12:18,1232.35,43.39
2023-12-25 18:12:19,1232.35,43.84
2023-12-25 18:12:20,1235.66,44.27
2023-12-25 18:12:21,1238.98,44.72
2023-12-25 18:12:22,1238.98,45.17
2023-12-25 18:12:23,1235.66,45.61
2023-12-25 18:12:24,1248.93,46.05
2023-12-25 18:12:25,1258.89,46.49
2023-12-25 18:12:26,1258.89,46.94
2023-12-25 18:12:27,1258.89,47.37
2023-12-25 18:12:28,1268.84,47.82
2023-12-25 18:12:29,1268.84,48.27
2023-12-25 18:12:30,1268.84,48.71
2023-12-25 18:12:31,1268.84,49.16
