time,3050（500kN）力值曲线,3050（500kN）位移曲线
2023-12-19 10:47:35,842.76,-0.89
2023-12-19 10:47:36,842.76,-0.60
2023-12-19 10:47:37,836.19,-0.31
2023-12-19 10:47:38,842.76,-0.01
2023-12-19 10:47:39,849.33,0.29
2023-12-19 10:47:40,859.20,0.58
2023-12-19 10:47:41,855.91,0.87
2023-12-19 10:47:42,875.64,1.16
2023-12-19 10:47:43,862.48,1.45
2023-12-19 10:47:44,865.77,1.74
2023-12-19 10:47:45,862.48,2.05
2023-12-19 10:47:46,869.06,2.34
2023-12-19 10:47:47,865.77,2.63
2023-12-19 10:47:48,882.22,2.92
2023-12-19 10:47:49,882.22,3.21
2023-12-19 10:47:50,898.67,3.50
2023-12-19 10:47:51,885.51,3.80
2023-12-19 10:47:52,898.67,4.10
2023-12-19 10:47:53,892.09,4.39
2023-12-19 10:47:54,895.38,4.68
2023-12-19 10:47:55,892.09,4.97
2023-12-19 10:47:56,905.25,5.26
2023-12-19 10:47:57,901.96,5.56
2023-12-19 10:47:58,925.00,5.86
2023-12-19 10:47:59,925.00,6.15
2023-12-19 10:48:00,925.00,6.44
2023-12-19 10:48:01,925.00,6.73
2023-12-19 10:48:02,925.00,7.02
2023-12-19 10:48:03,921.71,7.32
2023-12-19 10:48:04,925.00,7.62
2023-12-19 10:48:05,934.88,7.91
2023-12-19 10:48:06,931.59,8.20
2023-12-19 10:48:07,954.65,8.49
2023-12-19 10:48:08,951.36,8.78
2023-12-19 10:48:09,951.36,9.08
2023-12-19 10:48:10,951.36,9.37
2023-12-19 10:48:11,954.65,9.67
2023-12-19 10:48:12,954.65,9.96
2023-12-19 10:48:13,961.24,10.25
2023-12-19 10:48:14,964.54,10.55
2023-12-19 10:48:15,971.13,10.84
2023-12-19 10:48:16,974.43,11.13
2023-12-19 10:48:17,977.72,11.43
2023-12-19 10:48:18,981.02,11.72
2023-12-19 10:48:19,977.72,12.02
2023-12-19 10:48:20,977.72,12.31
2023-12-19 10:48:21,695.12,12.46
2023-12-19 10:48:22,678.75,12.46
2023-12-19 10:48:23,941.47,12.59
2023-12-19 10:48:24,974.43,12.88
2023-12-19 10:48:25,981.02,13.17
2023-12-19 10:48:26,1000.81,13.48
2023-12-19 10:48:27,691.85,13.50
2023-12-19 10:48:28,678.75,13.50
2023-12-19 10:48:29,977.72,13.76
2023-12-19 10:48:30,977.72,14.05
2023-12-19 10:48:31,704.95,14.20
2023-12-19 10:48:32,691.85,14.20
2023-12-19 10:48:33,971.13,14.33
2023-12-19 10:48:34,987.62,14.63
2023-12-19 10:48:35,701.67,14.72
2023-12-19 10:48:36,691.85,14.72
2023-12-19 10:48:37,987.62,14.91
2023-12-19 10:48:38,704.95,15.09
2023-12-19 10:48:39,691.85,15.09
2023-12-19 10:48:40,971.13,15.19
2023-12-19 10:48:41,711.50,15.43
2023-12-19 10:48:42,698.40,15.43
2023-12-19 10:48:43,977.72,15.49
2023-12-19 10:48:44,708.22,15.72
2023-12-19 10:48:45,698.40,15.72
2023-12-19 10:48:46,987.62,15.77
2023-12-19 10:48:47,708.22,15.98
2023-12-19 10:48:48,701.67,15.98
2023-12-19 10:48:49,981.02,16.05
2023-12-19 10:48:50,708.22,16.19
2023-12-19 10:48:51,701.67,16.19
2023-12-19 10:48:52,990.91,16.34
2023-12-19 10:48:53,708.22,16.39
2023-12-19 10:48:54,701.67,16.39
2023-12-19 10:48:55,721.33,16.59
2023-12-19 10:48:56,698.40,16.59
2023-12-19 10:48:57,951.36,16.61
2023-12-19 10:48:58,711.50,16.79
2023-12-19 10:48:59,708.22,16.79
2023-12-19 10:49:00,990.91,16.89
2023-12-19 10:49:01,701.67,16.95
2023-12-19 10:49:02,695.12,16.95
2023-12-19 10:49:03,718.05,17.12
2023-12-19 10:49:04,708.22,17.12
2023-12-19 10:49:05,994.21,17.17
2023-12-19 10:49:06,714.78,17.29
2023-12-19 10:49:07,708.22,17.29
2023-12-19 10:49:08,875.64,17.44
2023-12-19 10:49:09,714.78,17.44
2023-12-19 10:49:10,708.22,17.44
