time,3071（YDC-1000kN）力值曲线,3071（YDC-1000kN）位移曲线
2024-08-29 09:42:42,215.63,1.66
2024-08-29 09:42:43,243.11,3.43
2024-08-29 09:42:44,272.53,5.19
2024-08-29 09:42:45,299.63,6.86
2024-08-29 09:42:46,326.47,8.42
2024-08-29 09:42:47,351.51,10.01
2024-08-29 09:42:48,376.93,11.47
2024-08-29 09:42:49,407.32,12.93
2024-08-29 09:42:50,435.10,14.31
2024-08-29 09:42:51,463.31,15.68
2024-08-29 09:42:52,490.33,16.99
2024-08-29 09:42:53,515.29,18.28
2024-08-29 09:42:54,547.13,19.46
2024-08-29 09:42:55,579.46,20.68
2024-08-29 09:42:56,605.50,21.78
2024-08-29 09:42:57,632.72,22.88
2024-08-29 09:42:58,615.67,23.26
2024-08-29 09:42:59,617.37,23.26
2024-08-29 09:43:00,617.37,23.26
2024-08-29 09:43:01,617.37,23.26
2024-08-29 09:43:02,609.73,23.26
2024-08-29 09:43:03,613.12,23.26
2024-08-29 09:43:04,614.82,23.26
2024-08-29 09:43:05,608.89,23.26
2024-08-29 09:43:06,613.97,23.26
2024-08-29 09:43:07,608.89,23.26
2024-08-29 09:43:08,612.28,23.26
2024-08-29 09:43:09,611.43,23.26
2024-08-29 09:43:10,609.73,23.26
2024-08-29 09:43:11,608.89,23.26
2024-08-29 09:43:12,610.58,23.26
2024-08-29 09:43:13,609.73,23.26
2024-08-29 09:43:14,610.58,23.26
2024-08-29 09:43:15,608.89,23.26
2024-08-29 09:43:16,609.73,23.26
2024-08-29 09:43:17,607.20,23.26
2024-08-29 09:43:18,609.73,23.26
2024-08-29 09:43:19,606.35,23.26
2024-08-29 09:43:20,608.89,23.26
2024-08-29 09:43:21,608.04,23.26
2024-08-29 09:43:22,605.50,23.26
2024-08-29 09:43:23,607.20,23.26
2024-08-29 09:43:24,603.81,23.26
2024-08-29 09:43:25,607.20,23.26
2024-08-29 09:43:26,607.20,23.26
2024-08-29 09:43:27,605.50,23.26
2024-08-29 09:43:28,605.50,23.26
2024-08-29 09:43:29,605.50,23.26
2024-08-29 09:43:30,605.50,23.26
2024-08-29 09:43:31,602.97,23.26
2024-08-29 09:43:32,605.50,23.26
2024-08-29 09:43:33,602.97,23.26
2024-08-29 09:43:34,606.35,23.26
2024-08-29 09:43:35,604.66,23.26
2024-08-29 09:43:36,606.35,23.26
2024-08-29 09:43:37,606.35,23.26
2024-08-29 09:43:38,606.35,23.26
2024-08-29 09:43:39,602.97,23.26
2024-08-29 09:43:40,604.66,23.26
2024-08-29 09:43:41,602.97,23.26
2024-08-29 09:43:42,606.35,23.26
2024-08-29 09:43:43,602.97,23.26
2024-08-29 09:43:44,604.66,23.26
2024-08-29 09:43:45,598.75,23.26
2024-08-29 09:43:46,605.50,23.26
2024-08-29 09:43:47,602.13,23.26
2024-08-29 09:43:48,604.66,23.26
2024-08-29 09:43:49,604.66,23.26
2024-08-29 09:43:50,604.66,23.26
2024-08-29 09:43:51,602.13,23.26
2024-08-29 09:43:52,600.44,23.26
2024-08-29 09:43:53,604.66,23.26
2024-08-29 09:43:54,602.97,23.26
2024-08-29 09:43:55,602.13,23.26
2024-08-29 09:43:56,602.97,23.26
2024-08-29 09:43:57,602.97,23.26
2024-08-29 09:43:58,597.91,23.26
2024-08-29 09:43:59,602.13,23.26
2024-08-29 09:44:00,602.13,23.26
2024-08-29 09:44:01,602.97,23.26
2024-08-29 09:44:02,602.97,23.26
2024-08-29 09:44:03,602.97,23.26
2024-08-29 09:44:04,602.13,23.26
2024-08-29 09:44:05,602.97,23.26
2024-08-29 09:44:06,601.28,23.26
2024-08-29 09:44:07,602.13,23.26
2024-08-29 09:44:08,601.28,23.26
2024-08-29 09:44:09,600.44,23.26
2024-08-29 09:44:10,600.44,23.26
2024-08-29 09:44:11,601.28,23.26
2024-08-29 09:44:12,601.28,23.26
2024-08-29 09:44:13,601.28,23.26
2024-08-29 09:44:14,600.44,23.26
2024-08-29 09:44:15,600.44,23.26
2024-08-29 09:44:16,601.28,23.26
2024-08-29 09:44:17,594.54,23.26
2024-08-29 09:44:18,599.60,23.26
2024-08-29 09:44:19,596.23,23.26
2024-08-29 09:44:20,595.38,23.26
2024-08-29 09:44:21,597.07,23.26
2024-08-29 09:44:22,599.60,23.26
2024-08-29 09:44:23,597.07,23.26
2024-08-29 09:44:24,599.60,23.26
2024-08-29 09:44:25,599.60,23.26
2024-08-29 09:44:26,598.75,23.26
2024-08-29 09:44:27,599.60,23.26
2024-08-29 09:44:28,598.75,23.26
2024-08-29 09:44:29,596.23,23.26
2024-08-29 09:44:30,599.60,23.26
2024-08-29 09:44:31,596.23,23.26
2024-08-29 09:44:32,599.60,23.26
2024-08-29 09:44:33,599.60,23.26
2024-08-29 09:44:34,558.68,23.07
2024-08-29 09:44:35,444.46,21.01
2024-08-29 09:44:36,158.28,15.88
2024-08-29 09:44:37,49.53,11.68
2024-08-29 09:44:38,45.95,11.68
2024-08-29 09:44:39,45.36,11.68
2024-08-29 09:44:40,44.17,11.68
2024-08-29 09:44:41,42.98,11.68
2024-08-29 09:44:42,42.39,11.68
2024-08-29 09:44:43,42.39,11.68
2024-08-29 09:44:44,41.20,11.68
2024-08-29 09:44:45,41.20,11.68
2024-08-29 09:44:46,41.20,11.68
