time,3056（200kN）力值曲线,3056（200kN）位移曲线
2024-04-16 19:26:14,218.84,-0.15
2024-04-16 19:26:15,221.49,0.07
2024-04-16 19:26:16,220.17,0.07
2024-04-16 19:26:17,250.59,0.19
2024-04-16 19:26:18,221.49,0.24
2024-04-16 19:26:19,225.46,0.27
2024-04-16 19:26:20,222.81,0.38
2024-04-16 19:26:21,221.49,0.38
2024-04-16 19:26:22,222.81,0.52
2024-04-16 19:26:23,222.81,0.52
2024-04-16 19:26:24,224.14,0.66
2024-04-16 19:26:25,224.14,0.66
2024-04-16 19:26:26,224.14,0.80
2024-04-16 19:26:27,225.46,0.80
2024-04-16 19:26:28,224.14,0.97
2024-04-16 19:26:29,225.46,0.97
2024-04-16 19:26:30,228.10,1.11
2024-04-16 19:26:31,228.10,1.11
2024-04-16 19:26:32,226.78,1.25
2024-04-16 19:26:33,228.10,1.25
2024-04-16 19:26:34,228.10,1.39
2024-04-16 19:26:35,225.46,1.39
2024-04-16 19:26:36,221.49,1.51
2024-04-16 19:26:37,228.10,1.51
2024-04-16 19:26:38,277.04,1.56
2024-04-16 19:26:39,228.10,1.59
2024-04-16 19:26:40,271.75,1.62
2024-04-16 19:26:41,228.10,1.67
2024-04-16 19:26:42,229.43,1.67
2024-04-16 19:26:43,229.43,1.76
2024-04-16 19:26:44,230.75,1.76
2024-04-16 19:26:45,232.07,1.87
2024-04-16 19:26:46,232.07,1.87
2024-04-16 19:26:47,229.43,1.93
2024-04-16 19:26:48,232.07,1.93
2024-04-16 19:26:49,233.40,2.01
2024-04-16 19:26:50,232.07,2.01
2024-04-16 19:26:51,233.40,2.12
2024-04-16 19:26:52,233.40,2.12
2024-04-16 19:26:53,233.40,2.24
2024-04-16 19:26:54,233.40,2.24
2024-04-16 19:26:55,233.40,2.29
2024-04-16 19:26:56,234.72,2.29
2024-04-16 19:26:57,236.04,2.35
2024-04-16 19:26:58,234.72,2.35
2024-04-16 19:26:59,234.72,2.46
2024-04-16 19:27:00,233.40,2.46
2024-04-16 19:27:01,236.04,2.57
2024-04-16 19:27:02,233.40,2.57
2024-04-16 19:27:03,237.37,2.63
2024-04-16 19:27:04,236.04,2.63
2024-04-16 19:27:05,238.69,2.68
2024-04-16 19:27:06,236.04,2.68
2024-04-16 19:27:07,237.37,2.77
2024-04-16 19:27:08,236.04,2.77
2024-04-16 19:27:09,238.69,2.83
2024-04-16 19:27:10,237.37,2.83
2024-04-16 19:27:11,236.04,2.88
2024-04-16 19:27:12,238.69,2.88
2024-04-16 19:27:13,284.97,3.02
2024-04-16 19:27:14,265.14,4.03
2024-04-16 19:27:15,238.69,5.01
2024-04-16 19:27:16,230.75,6.00
2024-04-16 19:27:17,253.24,6.98
2024-04-16 19:27:18,282.33,7.96
2024-04-16 19:27:19,294.23,8.94
2024-04-16 19:27:20,310.09,9.93
2024-04-16 19:27:21,296.87,10.91
2024-04-16 19:27:22,283.65,11.86
2024-04-16 19:27:23,265.14,12.84
2024-04-16 19:27:24,277.04,13.83
2024-04-16 19:27:25,303.48,14.81
2024-04-16 19:27:26,331.22,15.76
2024-04-16 19:27:27,341.79,16.75
2024-04-16 19:27:28,341.79,17.70
2024-04-16 19:27:29,316.69,18.68
2024-04-16 19:27:30,298.19,19.64
2024-04-16 19:27:31,307.44,20.62
2024-04-16 19:27:32,341.79,21.57
2024-04-16 19:27:33,361.60,22.53
2024-04-16 19:27:34,376.12,23.51
2024-04-16 19:27:35,369.52,24.46
2024-04-16 19:27:36,356.32,25.42
2024-04-16 19:27:37,333.87,26.37
2024-04-16 19:27:38,357.64,27.33
2024-04-16 19:27:39,384.04,28.28
2024-04-16 19:27:40,409.11,29.24
2024-04-16 19:27:41,417.03,30.16
2024-04-16 19:27:42,386.68,31.12
2024-04-16 19:27:43,365.56,32.07
2024-04-16 19:27:44,376.12,33.00
2024-04-16 19:27:45,414.39,33.95
2024-04-16 19:27:46,432.86,34.88
2024-04-16 19:27:47,440.77,35.83
2024-04-16 19:27:48,420.99,36.76
2024-04-16 19:27:49,395.92,37.68
2024-04-16 19:27:50,422.30,38.61
2024-04-16 19:27:51,452.63,39.54
2024-04-16 19:27:52,472.41,40.46
2024-04-16 19:27:53,451.32,41.39
2024-04-16 19:27:54,424.94,42.32
2024-04-16 19:27:55,435.49,43.24
2024-04-16 19:27:56,479.00,44.17
2024-04-16 19:27:57,496.13,45.07
2024-04-16 19:27:58,488.22,45.99
2024-04-16 19:27:59,442.09,46.89
2024-04-16 19:28:00,468.45,47.82
2024-04-16 19:28:01,498.76,48.71
2024-04-16 19:28:02,513.25,49.64
2024-04-16 19:28:03,502.71,50.54
2024-04-16 19:28:04,471.09,51.44
2024-04-16 19:28:05,496.13,52.34
2024-04-16 19:28:06,529.05,53.23
2024-04-16 19:28:07,548.80,54.13
2024-04-16 19:28:08,511.93,55.03
2024-04-16 19:28:09,493.49,55.93
2024-04-16 19:28:10,518.52,56.83
2024-04-16 19:28:11,554.07,57.72
2024-04-16 19:28:12,565.91,58.59
2024-04-16 19:28:13,529.05,59.49
2024-04-16 19:28:14,514.57,60.36
2024-04-16 19:28:15,554.07,61.26
2024-04-16 19:28:16,573.81,62.13
2024-04-16 19:28:17,573.81,63.03
2024-04-16 19:28:18,546.17,63.90
2024-04-16 19:28:19,550.12,64.77
2024-04-16 19:28:20,585.65,65.64
2024-04-16 19:28:21,606.69,66.51
2024-04-16 19:28:22,580.39,67.38
2024-04-16 19:28:23,556.70,68.25
2024-04-16 19:28:24,579.07,69.12
2024-04-16 19:28:25,615.90,69.99
2024-04-16 19:28:26,631.67,70.86
2024-04-16 19:28:27,589.59,71.73
2024-04-16 19:28:28,580.39,72.57
2024-04-16 19:28:29,622.47,73.44
2024-04-16 19:28:30,643.50,74.28
2024-04-16 19:28:31,634.30,75.15
2024-04-16 19:28:32,596.17,76.00
2024-04-16 19:28:33,619.84,76.84
2024-04-16 19:28:34,610.64,76.92
2024-04-16 19:28:35,608.01,76.92
2024-04-16 19:28:36,610.64,76.92
2024-04-16 19:28:37,606.69,76.92
2024-04-16 19:28:38,609.32,76.92
2024-04-16 19:28:39,625.10,76.98
2024-04-16 19:28:40,608.01,77.85
2024-04-16 19:28:41,644.82,78.72
2024-04-16 19:28:42,675.04,79.56
2024-04-16 19:28:43,665.84,80.40
2024-04-16 19:28:44,630.36,81.24
2024-04-16 19:28:45,643.50,82.09
2024-04-16 19:28:46,682.92,82.96
2024-04-16 19:28:47,703.93,83.77
2024-04-16 19:28:48,684.24,84.61
2024-04-16 19:28:49,648.76,85.45
2024-04-16 19:28:50,681.61,86.30
2024-04-16 19:28:51,705.25,87.11
2024-04-16 19:28:52,723.63,87.95
2024-04-16 19:28:53,702.62,88.77
2024-04-16 19:28:54,677.67,89.61
2024-04-16 19:28:55,703.93,90.42
2024-04-16 19:28:56,730.19,91.26
2024-04-16 19:28:57,748.56,92.08
2024-04-16 19:28:58,719.69,92.89
2024-04-16 19:28:59,697.37,93.73
2024-04-16 19:29:00,719.69,94.55
2024-04-16 19:29:01,753.81,95.36
2024-04-16 19:29:02,769.55,96.18
2024-04-16 19:29:03,735.44,96.99
2024-04-16 19:29:04,710.50,97.80
2024-04-16 19:29:05,728.88,98.08
2024-04-16 19:29:06,723.63,98.08
2024-04-16 19:29:07,726.25,98.08
2024-04-16 19:29:08,726.25,98.08
2024-04-16 19:29:09,726.25,98.08
2024-04-16 19:29:10,724.94,98.08
2024-04-16 19:29:11,772.17,98.34
2024-04-16 19:29:12,736.75,99.18
2024-04-16 19:29:13,736.75,99.99
2024-04-16 19:29:14,769.55,100.84
2024-04-16 19:29:15,790.53,101.65
2024-04-16 19:29:16,780.04,102.46
2024-04-16 19:29:17,752.50,103.30
2024-04-16 19:29:18,772.17,104.12
2024-04-16 19:29:19,766.93,104.85
2024-04-16 19:29:20,762.99,104.85
2024-04-16 19:29:21,811.51,104.90
2024-04-16 19:29:22,768.24,105.19
