time,3073（YDC1200-200型kN）力值曲线,3073（YDC1200-200型kN）位移曲线
2024-08-31 00:40:28,216.88,-0.14
2024-08-31 00:40:29,258.19,0.88
2024-08-31 00:40:30,259.61,1.99
2024-08-31 00:40:31,267.45,3.05
2024-08-31 00:40:32,302.08,4.15
2024-08-31 00:40:33,338.21,5.19
2024-08-31 00:40:34,348.67,6.22
2024-08-31 00:40:35,349.42,7.19
2024-08-31 00:40:36,376.63,8.15
2024-08-31 00:40:37,413.55,9.16
2024-08-31 00:40:38,429.15,10.06
2024-08-31 00:40:39,430.72,11.00
2024-08-31 00:40:40,455.98,11.89
2024-08-31 00:40:41,496.10,12.82
2024-08-31 00:40:42,508.29,13.65
2024-08-31 00:40:43,507.47,14.46
2024-08-31 00:40:44,537.02,15.33
2024-08-31 00:40:45,573.70,16.13
2024-08-31 00:40:46,584.66,16.89
2024-08-31 00:40:47,586.35,17.63
2024-08-31 00:40:48,597.37,17.88
2024-08-31 00:40:49,594.82,17.88
2024-08-31 00:40:50,593.12,17.88
2024-08-31 00:40:51,591.43,17.88
2024-08-31 00:40:52,587.20,17.88
2024-08-31 00:40:53,589.73,17.88
2024-08-31 00:40:54,587.20,17.88
2024-08-31 00:40:55,587.20,17.88
2024-08-31 00:40:56,585.50,17.88
2024-08-31 00:40:57,587.20,17.88
2024-08-31 00:40:58,587.20,17.88
2024-08-31 00:40:59,586.35,17.88
2024-08-31 00:41:00,586.35,17.88
2024-08-31 00:41:01,585.50,17.88
2024-08-31 00:41:02,582.13,17.88
2024-08-31 00:41:03,583.81,17.88
2024-08-31 00:41:04,582.13,17.88
2024-08-31 00:41:05,582.97,17.88
2024-08-31 00:41:06,582.97,17.88
2024-08-31 00:41:07,582.97,17.88
2024-08-31 00:41:08,579.60,17.88
2024-08-31 00:41:09,578.75,17.88
2024-08-31 00:41:10,582.13,17.88
2024-08-31 00:41:11,577.07,17.88
2024-08-31 00:41:12,580.44,17.88
2024-08-31 00:41:13,580.44,17.88
2024-08-31 00:41:14,577.91,17.88
2024-08-31 00:41:15,579.60,17.88
2024-08-31 00:41:16,577.07,17.88
2024-08-31 00:41:17,578.75,17.88
2024-08-31 00:41:18,576.23,17.88
2024-08-31 00:41:19,579.60,17.88
2024-08-31 00:41:20,578.75,17.88
2024-08-31 00:41:21,576.23,17.88
2024-08-31 00:41:22,577.07,17.88
2024-08-31 00:41:23,574.54,17.88
2024-08-31 00:41:24,575.38,17.88
2024-08-31 00:41:25,577.07,17.88
2024-08-31 00:41:26,577.07,17.88
2024-08-31 00:41:27,572.02,17.88
2024-08-31 00:41:28,577.07,17.88
2024-08-31 00:41:29,576.23,17.88
2024-08-31 00:41:30,575.38,17.88
2024-08-31 00:41:31,574.54,17.88
2024-08-31 00:41:32,574.54,17.88
2024-08-31 00:41:33,575.38,17.88
2024-08-31 00:41:34,576.23,17.88
2024-08-31 00:41:35,572.86,17.88
2024-08-31 00:41:36,573.70,17.88
2024-08-31 00:41:37,575.38,17.88
2024-08-31 00:41:38,574.54,17.88
2024-08-31 00:41:39,574.54,17.88
2024-08-31 00:41:40,572.02,17.88
2024-08-31 00:41:41,573.70,17.88
2024-08-31 00:41:42,573.70,17.88
2024-08-31 00:41:43,569.50,17.88
2024-08-31 00:41:44,573.70,17.88
2024-08-31 00:41:45,572.02,17.88
2024-08-31 00:41:46,569.50,17.88
2024-08-31 00:41:47,573.70,17.88
2024-08-31 00:41:48,572.02,17.88
2024-08-31 00:41:49,568.66,17.88
2024-08-31 00:41:50,572.02,17.88
2024-08-31 00:41:51,572.02,17.88
2024-08-31 00:41:52,572.02,17.88
2024-08-31 00:41:53,571.18,17.88
2024-08-31 00:41:54,572.02,17.88
2024-08-31 00:41:55,572.02,17.88
2024-08-31 00:41:56,569.50,17.88
2024-08-31 00:41:57,571.18,17.88
2024-08-31 00:41:58,572.02,17.88
2024-08-31 00:41:59,570.34,17.88
2024-08-31 00:42:00,572.02,17.88
2024-08-31 00:42:01,568.66,17.88
2024-08-31 00:42:02,570.34,17.88
2024-08-31 00:42:03,568.66,17.88
2024-08-31 00:42:04,571.18,17.88
2024-08-31 00:42:05,568.66,17.88
2024-08-31 00:42:06,566.15,17.88
2024-08-31 00:42:07,570.34,17.88
2024-08-31 00:42:08,569.50,17.88
2024-08-31 00:42:09,566.99,17.88
2024-08-31 00:42:10,571.18,17.88
2024-08-31 00:42:11,569.50,17.88
2024-08-31 00:42:12,570.34,17.88
2024-08-31 00:42:13,569.50,17.88
2024-08-31 00:42:14,566.99,17.88
2024-08-31 00:42:15,476.74,16.84
2024-08-31 00:42:16,45.16,7.51
2024-08-31 00:42:17,37.92,7.51
2024-08-31 00:42:18,33.12,7.51
2024-08-31 00:42:19,27.74,7.51
2024-08-31 00:42:20,26.55,7.51
2024-08-31 00:42:21,25.36,7.51
2024-08-31 00:42:22,24.76,7.51
2024-08-31 00:42:23,24.17,7.51
2024-08-31 00:42:24,23.58,7.51
2024-08-31 00:42:25,22.39,7.51
