time,3074（YDC-1000型kN）力值曲线,3074（YDC-1000型kN）位移曲线
2024-08-31 02:30:26,212.42,1.60
2024-08-31 02:30:27,246.78,3.32
2024-08-31 02:30:28,283.36,5.08
2024-08-31 02:30:29,316.33,6.70
2024-08-31 02:30:30,350.70,8.36
2024-08-31 02:30:31,385.76,9.95
2024-08-31 02:30:32,420.72,11.53
2024-08-31 02:30:33,460.33,13.13
2024-08-31 02:30:34,495.03,14.62
2024-08-31 02:30:35,533.64,16.13
2024-08-31 02:30:36,574.66,17.58
2024-08-31 02:30:37,614.73,19.02
2024-08-31 02:30:38,612.15,19.60
2024-08-31 02:30:39,608.71,19.60
2024-08-31 02:30:40,607.00,19.60
2024-08-31 02:30:41,601.01,19.60
2024-08-31 02:30:42,603.57,19.60
2024-08-31 02:30:43,601.01,19.60
2024-08-31 02:30:44,600.15,19.60
2024-08-31 02:30:45,597.59,19.60
2024-08-31 02:30:46,594.18,19.60
2024-08-31 02:30:47,597.59,19.60
2024-08-31 02:30:48,596.74,19.60
2024-08-31 02:30:49,595.88,19.60
2024-08-31 02:30:50,595.03,19.60
2024-08-31 02:30:51,594.18,19.60
2024-08-31 02:30:52,593.33,19.60
2024-08-31 02:30:53,593.33,19.60
2024-08-31 02:30:54,586.52,19.60
2024-08-31 02:30:55,591.62,19.60
2024-08-31 02:30:56,590.77,19.60
2024-08-31 02:30:57,586.52,19.60
2024-08-31 02:30:58,590.77,19.60
2024-08-31 02:30:59,590.77,19.60
2024-08-31 02:31:00,587.37,19.60
2024-08-31 02:31:01,588.22,19.60
2024-08-31 02:31:02,585.67,19.60
2024-08-31 02:31:03,586.52,19.60
2024-08-31 02:31:04,583.12,19.60
2024-08-31 02:31:05,587.37,19.60
2024-08-31 02:31:06,587.37,19.60
2024-08-31 02:31:07,586.52,19.60
2024-08-31 02:31:08,586.52,19.60
2024-08-31 02:31:09,585.67,19.60
2024-08-31 02:31:10,583.12,19.60
2024-08-31 02:31:11,584.82,19.60
2024-08-31 02:31:12,585.67,19.60
2024-08-31 02:31:13,583.12,19.60
2024-08-31 02:31:14,579.73,19.60
2024-08-31 02:31:15,583.12,19.60
2024-08-31 02:31:16,583.97,19.60
2024-08-31 02:31:17,582.28,19.60
2024-08-31 02:31:18,583.12,19.60
2024-08-31 02:31:19,579.73,19.60
2024-08-31 02:31:20,582.28,19.60
2024-08-31 02:31:21,583.12,19.60
2024-08-31 02:31:22,583.12,19.60
2024-08-31 02:31:23,582.28,19.60
2024-08-31 02:31:24,581.43,19.60
2024-08-31 02:31:25,579.73,19.60
2024-08-31 02:31:26,580.58,19.60
2024-08-31 02:31:27,583.12,19.60
2024-08-31 02:31:28,579.73,19.60
2024-08-31 02:31:29,581.43,19.60
2024-08-31 02:31:30,579.73,19.60
2024-08-31 02:31:31,580.58,19.60
2024-08-31 02:31:32,578.89,19.60
2024-08-31 02:31:33,579.73,19.60
2024-08-31 02:31:34,580.58,19.60
2024-08-31 02:31:35,579.73,19.60
2024-08-31 02:31:36,579.73,19.60
2024-08-31 02:31:37,579.73,19.60
2024-08-31 02:31:38,578.04,19.60
2024-08-31 02:31:39,580.58,19.60
2024-08-31 02:31:40,581.43,19.60
2024-08-31 02:31:41,579.73,19.60
2024-08-31 02:31:42,580.58,19.60
2024-08-31 02:31:43,581.43,19.60
2024-08-31 02:31:44,579.73,19.60
2024-08-31 02:31:45,579.73,19.60
2024-08-31 02:31:46,579.73,19.60
2024-08-31 02:31:47,578.89,19.60
2024-08-31 02:31:48,579.73,19.60
2024-08-31 02:31:49,572.97,19.60
2024-08-31 02:31:50,579.73,19.60
2024-08-31 02:31:51,578.89,19.60
2024-08-31 02:31:52,578.89,19.60
2024-08-31 02:31:53,578.04,19.60
2024-08-31 02:31:54,578.89,19.60
2024-08-31 02:31:55,577.20,19.60
2024-08-31 02:31:56,578.04,19.60
2024-08-31 02:31:57,578.89,19.60
2024-08-31 02:31:58,578.04,19.60
2024-08-31 02:31:59,576.35,19.60
2024-08-31 02:32:00,577.20,19.60
2024-08-31 02:32:01,577.20,19.60
2024-08-31 02:32:02,574.66,19.60
2024-08-31 02:32:03,578.89,19.60
2024-08-31 02:32:04,576.35,19.60
2024-08-31 02:32:05,575.50,19.60
2024-08-31 02:32:06,577.20,19.60
2024-08-31 02:32:07,577.20,19.60
2024-08-31 02:32:08,573.81,19.60
2024-08-31 02:32:09,574.66,19.60
2024-08-31 02:32:10,577.20,19.60
2024-08-31 02:32:11,577.20,19.60
2024-08-31 02:32:12,577.20,19.60
2024-08-31 02:32:13,578.04,19.60
2024-08-31 02:32:14,572.97,19.60
2024-08-31 02:32:15,577.20,19.60
2024-08-31 02:32:16,576.35,19.60
2024-08-31 02:32:17,578.04,19.60
2024-08-31 02:32:18,576.35,19.60
2024-08-31 02:32:19,576.35,19.60
2024-08-31 02:32:20,572.97,19.60
2024-08-31 02:32:21,578.04,19.60
2024-08-31 02:32:22,576.35,19.60
2024-08-31 02:32:23,576.35,19.60
2024-08-31 02:32:24,572.13,19.60
2024-08-31 02:32:25,576.35,19.60
2024-08-31 02:32:26,576.35,19.60
2024-08-31 02:32:27,572.13,19.60
2024-08-31 02:32:28,574.66,19.60
2024-08-31 02:32:29,576.35,19.60
2024-08-31 02:32:30,576.35,19.60
2024-08-31 02:32:31,576.35,19.60
2024-08-31 02:32:32,575.50,19.60
2024-08-31 02:32:33,576.35,19.60
2024-08-31 02:32:34,573.81,19.60
2024-08-31 02:32:35,574.66,19.60
2024-08-31 02:32:36,576.35,19.60
2024-08-31 02:32:37,570.44,19.60
2024-08-31 02:32:38,575.50,19.60
2024-08-31 02:32:39,574.66,19.60
2024-08-31 02:32:40,569.60,19.60
2024-08-31 02:32:41,575.50,19.60
2024-08-31 02:32:42,571.28,19.60
2024-08-31 02:32:43,572.13,19.60
2024-08-31 02:32:44,572.97,19.60
2024-08-31 02:32:45,575.50,19.60
2024-08-31 02:32:46,574.66,19.60
2024-08-31 02:32:47,574.66,19.60
2024-08-31 02:32:48,573.81,19.60
2024-08-31 02:32:49,569.60,19.60
2024-08-31 02:32:50,574.66,19.60
2024-08-31 02:32:51,575.50,19.60
2024-08-31 02:32:52,572.97,19.60
2024-08-31 02:32:53,573.81,19.60
2024-08-31 02:32:54,571.28,19.60
2024-08-31 02:32:55,569.60,19.60
2024-08-31 02:32:56,573.81,19.60
2024-08-31 02:32:57,570.44,19.60
2024-08-31 02:32:58,571.28,19.60
2024-08-31 02:32:59,570.44,19.60
2024-08-31 02:33:00,571.28,19.60
2024-08-31 02:33:01,572.97,19.60
2024-08-31 02:33:02,570.44,19.60
2024-08-31 02:33:03,572.13,19.60
2024-08-31 02:33:04,573.81,19.60
2024-08-31 02:33:05,570.44,19.60
2024-08-31 02:33:06,572.13,19.60
2024-08-31 02:33:07,572.97,19.60
2024-08-31 02:33:08,571.28,19.60
2024-08-31 02:33:09,571.28,19.60
2024-08-31 02:33:10,570.44,19.60
2024-08-31 02:33:11,572.97,19.60
2024-08-31 02:33:12,569.60,19.60
2024-08-31 02:33:13,570.44,19.60
2024-08-31 02:33:14,572.97,19.60
2024-08-31 02:33:15,569.60,19.60
2024-08-31 02:33:16,572.97,19.60
2024-08-31 02:33:17,569.60,19.60
2024-08-31 02:33:18,571.28,19.60
2024-08-31 02:33:19,569.60,19.60
2024-08-31 02:33:20,569.60,19.60
2024-08-31 02:33:21,567.07,19.60
2024-08-31 02:33:22,572.13,19.60
2024-08-31 02:33:23,569.60,19.60
2024-08-31 02:33:24,570.44,19.60
2024-08-31 02:33:25,571.28,19.60
2024-08-31 02:33:26,570.44,19.60
2024-08-31 02:33:27,283.36,16.43
2024-08-31 02:33:28,19.53,11.73
2024-08-31 02:33:29,17.14,11.73
2024-08-31 02:33:30,17.14,11.73
2024-08-31 02:33:31,15.36,11.73
2024-08-31 02:33:32,13.58,11.73
2024-08-31 02:33:33,12.98,11.73
2024-08-31 02:33:34,11.80,11.73
2024-08-31 02:33:35,11.80,11.73
2024-08-31 02:33:36,11.80,11.73
2024-08-31 02:33:37,10.61,11.73
