time,3071（YDC-1000kN）力值曲线,3071（YDC-1000kN）位移曲线
2024-09-01 09:37:41,227.93,1.66
2024-09-01 09:37:42,271.11,3.43
2024-09-01 09:37:43,318.44,5.08
2024-09-01 09:37:44,364.18,6.70
2024-09-01 09:37:45,403.49,8.20
2024-09-01 09:37:46,432.77,9.64
2024-09-01 09:37:47,468.05,11.00
2024-09-01 09:37:48,513.67,12.36
2024-09-01 09:37:49,552.89,13.65
2024-09-01 09:37:50,593.70,14.82
2024-09-01 09:37:51,638.71,15.98
2024-09-01 09:37:52,631.01,16.23
2024-09-01 09:37:53,626.74,16.23
2024-09-01 09:37:54,625.03,16.23
2024-09-01 09:37:55,624.18,16.23
2024-09-01 09:37:56,618.22,16.23
2024-09-01 09:37:57,618.22,16.23
2024-09-01 09:37:58,617.37,16.23
2024-09-01 09:37:59,620.77,16.23
2024-09-01 09:38:00,620.77,16.23
2024-09-01 09:38:01,619.07,16.23
2024-09-01 09:38:02,618.22,16.23
2024-09-01 09:38:03,617.37,16.23
2024-09-01 09:38:04,614.82,16.23
2024-09-01 09:38:05,616.52,16.23
2024-09-01 09:38:06,614.82,16.23
2024-09-01 09:38:07,611.43,16.23
2024-09-01 09:38:08,609.73,16.23
2024-09-01 09:38:09,608.89,16.23
2024-09-01 09:38:10,611.43,16.23
2024-09-01 09:38:11,610.58,16.23
2024-09-01 09:38:12,609.73,16.23
2024-09-01 09:38:13,606.35,16.23
2024-09-01 09:38:14,606.35,16.23
2024-09-01 09:38:15,607.20,16.23
2024-09-01 09:38:16,606.35,16.23
2024-09-01 09:38:17,602.97,16.23
2024-09-01 09:38:18,597.07,16.23
2024-09-01 09:38:19,600.44,16.23
2024-09-01 09:38:20,598.75,16.23
2024-09-01 09:38:21,595.38,16.18
2024-09-01 09:38:22,597.91,16.18
2024-09-01 09:38:23,597.07,16.18
2024-09-01 09:38:24,596.23,16.18
2024-09-01 09:38:25,596.23,16.18
2024-09-01 09:38:26,595.38,16.18
2024-09-01 09:38:27,593.70,16.18
2024-09-01 09:38:28,590.34,16.18
2024-09-01 09:38:29,593.70,16.18
2024-09-01 09:38:30,592.86,16.18
2024-09-01 09:38:31,591.18,16.13
2024-09-01 09:38:32,589.50,16.13
2024-09-01 09:38:33,589.50,16.13
2024-09-01 09:38:34,590.34,16.13
2024-09-01 09:38:35,588.66,16.13
2024-09-01 09:38:36,583.64,16.13
2024-09-01 09:38:37,588.66,16.13
2024-09-01 09:38:38,584.47,16.13
2024-09-01 09:38:39,583.64,16.13
2024-09-01 09:38:40,585.31,16.13
2024-09-01 09:38:41,587.83,16.13
2024-09-01 09:38:42,587.83,16.13
2024-09-01 09:38:43,586.99,16.13
2024-09-01 09:38:44,583.64,16.13
2024-09-01 09:38:45,582.80,16.13
2024-09-01 09:38:46,582.80,16.13
2024-09-01 09:38:47,584.47,16.13
2024-09-01 09:38:48,585.31,16.13
2024-09-01 09:38:49,582.80,16.13
2024-09-01 09:38:50,585.31,16.13
2024-09-01 09:38:51,585.31,16.13
2024-09-01 09:38:52,584.47,16.13
2024-09-01 09:38:53,585.31,16.13
2024-09-01 09:38:54,583.64,16.13
2024-09-01 09:38:55,581.96,16.13
2024-09-01 09:38:56,581.96,16.13
2024-09-01 09:38:57,577.79,16.13
2024-09-01 09:38:58,581.96,16.13
2024-09-01 09:38:59,583.64,16.13
2024-09-01 09:39:00,581.13,16.13
2024-09-01 09:39:01,578.62,16.13
2024-09-01 09:39:02,581.96,16.13
2024-09-01 09:39:03,581.96,16.13
2024-09-01 09:39:04,581.96,16.13
2024-09-01 09:39:05,581.96,16.08
2024-09-01 09:39:06,578.62,16.08
2024-09-01 09:39:07,576.95,16.08
2024-09-01 09:39:08,577.79,16.08
2024-09-01 09:39:09,581.96,16.08
2024-09-01 09:39:10,582.80,16.08
2024-09-01 09:39:11,577.79,16.08
2024-09-01 09:39:12,578.62,16.08
2024-09-01 09:39:13,576.12,16.08
2024-09-01 09:39:14,581.96,16.08
2024-09-01 09:39:15,576.95,16.08
2024-09-01 09:39:16,580.29,16.08
2024-09-01 09:39:17,580.29,16.08
2024-09-01 09:39:18,581.13,16.08
